Title,Date,Views,Likes,Comments,Video ID
"Entenda o afastamento do presidente da CBF, Ednaldo Rodrigues",2025-05-15T21:58:00Z,3111,501,40,xDhJ-wbFRu0
"Embargos por evasión de controles de tránsito en Cali: Concejala de Cali, Ana Erazo, se pronunció",2025-05-15T19:57:34Z,2876,115,10,ghGqaLSILzA
Faridabad Tiranga Yatra: Operation Sindoor पर बोले BJP नेता || Indian Army,2025-05-15T14:20:45Z,128,2,0,7pqOEuWKuUY
필옵틱스 - 연이은 공급 계약 체결로 3만원 바닥에서 반등 시작!  필옵틱스 주가 전망 및 대응 #필옵틱스 #유리기판 #반도체수혜주 #삼성,2025-05-15T14:01:19Z,444,14,0,mzNL42hgSxc
"Martyr Dinesh को श्रद्धाजंलि देने Palwal पहुंचे CM Nayab Saini, परिजनों से मिलकर बंधाया ढांढस",2025-05-15T13:54:06Z,14,0,0,HA5HAWOZcSs
"The fastest player in the world? Gabriel Silva's sprint, from Santa Clara, reached 40.3 km/h.",2025-05-15T13:43:21Z,11330,118,0,hApqbfpsIEI
로보티즈 - 역대급 매출로 흑자전환 이후 실적 성장 시작한다! 로보티즈 주가 전망 및 대응 #로보티즈,2025-05-15T13:40:02Z,32,2,0,wc0LUbv03dc
네이처셀 - 악재없는 하락에 물량 뺏기지마세요! 네이처셀 주가 전망 및 대응 #네이처셀,2025-05-15T13:15:21Z,473,17,0,yIp1viJ4cfs
Ashtine Olviga: Boyfriend material si Andres Muhlach | #JuliusAndTintin,2025-05-15T07:00:06Z,1274,31,1,3z0rphYICYE
HMM - 1분기 호실적 달성! 이재명 부산이전 공약까지? 24000원 돌파를 3년만에 할 수 있을까요? HMM 매매는 이렇게! #HMM부산,2025-05-15T05:15:03Z,28,4,0,ZRkcAMDBiUY
이재명의 리더십 스타일. 그것이 알고 싶다면. 포항 유세(2025.05.13.) 성남시장 시절의 일화를 들어보면 알 수 있다. 우리는 국민의 머슴으로서의 자세를 배울 수 있다.,2025-05-14T22:57:22Z,5049,950,35,hv3KRTruzMU
"엔켐 - 6만원 쌍바닥 확인, 9만원 돌파까지 대응은? 엔켐 주가 전망 및 대응 #엔켐 #관세전쟁수혜주",2025-05-14T22:30:11Z,315,21,1,yS_PQBLOTZg
"#Nuh : पानी की किल्लत से तंग महिलाओं ने सरपंच के घर पर फोडे़ मटके, दी भयंकर चेतावनी",2025-05-14T13:26:10Z,53,2,0,XAXo1KFxoGI
현대로템 - 이번 조정에 물량 뺏기지마세요!'여기서' 반등 다시 시작한다 현대로템 주가 전망 및 대응 #현대로템,2025-05-14T12:15:07Z,541,12,0,rImB8NGynuY
"#faridabad : विशेष धर्म के व्यापारियों को बजरंग दल की चेतावनी, हिंदू नाम से नाम चलाएं व्यापार",2025-05-14T10:03:33Z,66,1,0,IBm_5KQGpvo
"डबुआ-एयरफोर्स रोड पर गंदे पानी को लेकर व्यापारियों ने किया विरोध प्रदर्शन, लगाए गंभीर आरोप",2025-05-14T09:44:48Z,56,2,0,FywLc9ZDPUE
पानीपत से पाकिस्तानी जासूस नौमान इलाही गिरफ्तार पाक आतंकी इकबाल को भेजता था खुफिया जानकारी,2025-05-14T08:21:28Z,134,3,0,Li0gmKquK2k
"City of St. Cloud, FL, Community Redevelopment Agency Meeting, 5/13/25",2025-05-14T06:37:14Z,245,1,N/A,GXqvYNK2J2Y
"필옵틱스 - 유리기판 테마 대장 포지션!! 지금 매수해야 하는 이유, 분명합니다!! #필옵틱스관련주",2025-05-14T06:30:03Z,519,29,0,3iTYrZefU6M
네오셈 - 이 가격 돌파 시 본격 급등 시작!! 지금은 매수 대기 구간입니다!! #네오셈대응,2025-05-14T05:45:00Z,601,11,0,0Vn1yuyZ8Wo
Kiko Pangilinan credits final campaign push for potential top 12 finish,2025-05-13T12:27:58Z,622,12,0,E8_KyZfYFJs
"Squid Game Musim 3: Tayang Juni 2025, Bakal Jadi Penutup Fenomenal Serial Netflix Terpopuler",2025-05-13T12:01:22Z,28,2,0,oVvJhbAquwQ
"[큐라티스] 경구용 비만치료제 최대 수혜주, 지금 하락에 물량 뺏기지마세요! 큐라티스 주가 전망 및 대응 #큐라티스",2025-05-13T07:30:05Z,321,5,0,Dswco1xb36I
சூர்யாவின் நிலைக்கு தான் காரணம் !! - Sri Varagi Sithar | Actor Suriya,2025-05-13T06:59:28Z,2086,17,0,6pVa4hC8C7w
유진로봇 - 극적으로 이재명 관련주 편입하며 상한가! 로봇관련주 최근 횡보였는데...유진로봇 어떻게 대응해야 하나요? #이재명관련주,2025-05-13T02:15:00Z,35,4,0,108BnUQPd3o
Ibrahim Traoré Is Changing the Game – Must Watch!”,2025-05-12T22:19:07Z,0,17,6,yG9MgChlq20
"Kiko Pangilinan, naniwala na malaking bagay ang naging “last push” nila para makapasok sa top 12",2025-05-12T17:30:26Z,1829,28,4,oQQz8ovcg_s
"Kiko Pangilinan, naniwala na malaking bagay ang naging “last push” nila para makapasok sa top 12",2025-05-12T17:30:06Z,1354,23,4,Tl0-KmG4m1o
EN VIVO 🔴 TELEFE NOTICIAS 24HS DE INFORMACIÓN,2025-05-12T16:29:21Z,2685294,3460,0,bwjx7rN4kr4
Operation Sindoor ने 100 से ज्यादा ज्यादा आतंकवादी मारे गए,2025-05-12T15:55:45Z,1446,28,2,sTCXhMPCLes
"#Mathura: व्यापारी से ऑफिस में घुसकर मारपीट, छीने पैसे || वारदात CCTV में कैद",2025-05-12T09:50:25Z,453,4,1,ObVjpbQVpFE
"🔴LIVE ISRAEL VS IRAN | SAMAA TV | Latest News, Breaking News & Headlines | Live Updates|",2025-05-11T21:38:51Z,4738323,10190,0,fB6Z4q01uFU
"Immigration broke Europe, can we fix it?",2025-05-11T16:01:02Z,110424,6936,2980,eTsr2bBKg_M
"Mother's Day पर छलके माँ के आंसू, कहा ऐसे बेटों पर लानत",2025-05-11T13:41:51Z,3754,40,1,tmxodQhpmRA
"Operasi Sikat Intan di Kalsel: 135 Pelaku Premanisme Diamankan, Narkoba Mendominasi",2025-05-11T05:00:57Z,28,2,0,w7iIpexik2w
Illariywan Yachariy: ¡Es oficial! Liberan retiro del 100% de la CTS hasta el 2026,2025-05-10T19:11:08Z,19,1,0,l8qb78EaQ_c
Illariywan Yachariy: ¡Es oficial! Liberan retiro del 100% de la CTS hasta el 2026,2025-05-10T13:27:29Z,61,2,2,vwvavjgxTu4
"ГОСЗАКАЗ 2025: О недостоверной информации в заявках. Леонтьева Татьяна, Независимый эксперт",2025-05-10T11:27:11Z,0,0,0,6WjWD4t9h8c
"Kelelahan Bekerja di Atas Tower, Satu Orang Dievakuasi",2025-05-10T07:30:13Z,31,1,0,SoGoK0_D0RU
Novas revelações sobre o acidente na Linha 5-Lilás do Metrô de SP são surreais,2025-05-10T01:35:07Z,12628,1637,227,jrkAmsVQ3-A
"Ang serbisyo ng gobyerno, hindi lang dapat sa mahihirap. Anong say mo?",2025-05-09T13:53:44Z,939,12,2,lUm5bL8Nbr4
"Kannada popular actress Ashika Ranganath, inaugurated the store @ashikaranganath5",2025-05-09T12:32:41Z,78,2,0,KqaZV6WIPqA
Operation Sindoor: Pakistan की गोलाबारी में शहीद हुए Palwal के Dinesh Kumar की अंतिम विदाई,2025-05-08T08:59:02Z,21614,742,28,eg0FCBPmH10
"Pahalgam Terror Attack: भारत ने रोका Chenab River का पानी, भारत-पाक तनाव",2025-05-08T07:05:51Z,1016,7,0,t9Jusp3OaQQ
SANT NAGAR का दुख कब खत्म होगा ?,2025-05-07T11:16:18Z,1981,3,1,9ymY-XhYDxA
