Title,Date,Views,Likes,Comments,Video ID
Scott Wedman tells a FUNNY Larry Bird TRASH TALK story! 😂 #shorts #larrybird,2025-05-15T17:51:23Z,62654,1975,65,fZSe-kGRKbE
Stephen A. CALLS OUT Playoff Jimmy after Game 5 loss 🗣️ 'HE COULDN'T WIN ONE GAME!' | First Take,2025-05-15T16:31:58Z,506042,4906,2180,9VOwIXtafjA
The story of Shaq & Penny as a DUO! 🔥 #shorts #nbahighlights,2025-05-15T13:50:20Z,5720,360,20,RvJddMsbohw
PSV fans react to Ajax losing the lead against Groningen #eredivisie #ajax #psv,2025-05-15T13:30:01Z,867,11,0,8rnEQP49nLc
Highlights | Bangladesh A vs New Zealand A 2025 | 1st Four Day | Day 2 | Cricket | T Sports,2025-05-15T12:33:35Z,359679,5171,138,5W2bU4XhzC0
A's vs. Dodgers Game Highlights (5/14/25) | MLB Highlights,2025-05-15T05:41:09Z,320871,4940,307,wC_KoezmB6Q
How Federer Turned Roddick’s Rivalry Into a Nightmare,2025-05-15T01:30:04Z,148327,1614,370,3dLWQ6sOvxI
"Osimhen, Galatasaray'da Kalacak Mı? Kendisi Cevapladı! (Trabzonspor 0-3 Galatasaray) / A Spor",2025-05-14T20:43:37Z,144141,1626,117,XckXGgg1Xmc
"63. Ziraat Türkiye Kupası, Galatasaraylı Futbolcuların Ellerinde Yükseldi! / A Spor",2025-05-14T20:29:54Z,195022,2200,364,LXUNGpGiTI4
Stephen A. is NOT counting out the Celtics 🚫 'Boston has a team that can win Game 5' 👀 | First Take,2025-05-14T15:48:25Z,655553,6557,1548,PBkILMVASsM
Highlights | Bangladesh A vs New Zealand A 2025 | 1st Four Day | Day 1 | Cricket | T Sports,2025-05-14T13:08:16Z,231025,3459,80,Cd5N-TH_8qs
Using A Real JETPACK 😳,2025-05-14T07:00:22Z,1718004,44228,472,AOjUk8_79lE
QUAL É A MELHOR? #shorts,2025-05-14T01:36:44Z,3087,80,1,Tdg0K18SEwM
NBA legends tell a story about Dennis Rodman REBOUNDING ability! 🔥 #shorts #dennisrodman,2025-05-13T16:34:12Z,36412,2509,94,4Yd_IEkB_zY
Stephen A. reacts to Knicks’ Game 4 win and Jayson Tatum’s injury | SportsCenter,2025-05-13T05:26:13Z,476924,5231,892,cYLERLU2kKE
ATALANTA-ROMA 2-1 | HIGHLIGHTS | Sulemana Stunner Sinks Roma | Serie A 2024/25,2025-05-12T21:28:58Z,680320,10844,316,yAbNOUAzk7U
VENEZIA-FIORENTINA 2-1 | HIGHLIGHTS | Venezia Boost Survival Hopes! | Serie A 2024/25,2025-05-12T19:06:38Z,822316,12607,1060,mS4-mZdrKfw
"🚨😱THE 49ERS JUST MADE A MOVE SO EPIC, IT SHOOK THE FOUNDATIONS OF NFL HISTORY!",2025-05-12T19:04:00Z,434,7,1,169NIW4Mx2E
🚨😱THE 49ERS JUST MADE A HISTORY-MAKING MOVE THAT WILL ROCK THE NFL!,2025-05-12T18:01:02Z,913,14,1,FfkuEssOI00
"Stephen A. says there's no contemplating, 'Giannis WANTS OUT' 🗣️👀| First Take",2025-05-12T14:54:18Z,715263,6340,2641,sbTAkFifNn4
Ballerina Barre Deep Core Ab Workout On The Mat,2025-05-12T10:58:29Z,111,7,0,k6vXTn_vunI
CON POLÉMICA INCLUIDA. TIGRES ELIMINA a NECAXA y AVANZA a semifinales contra TOLUCA | Futbol Picante,2025-05-12T06:27:19Z,243315,1990,746,5AK9FfjxUfc
NAPOLI-GENOA 2-2 | HIGHLIGHTS | Vasquez Breaks Napoli Hearts | Serie A 2024/25,2025-05-11T21:34:35Z,657245,10031,498,kqdU0k4U-OA
🚨😱THE 49ERS JUST PULLED OFF A GAME-CHANGING MOVE THAT WILL BE REMEMBERED!,2025-05-11T21:09:01Z,286,7,0,VByvCTyckps
Glenn Robinson and Ray Allen tell a Michael Jordan REVENGE story! 🔥 #shorts #michaeljordan,2025-05-11T19:39:39Z,160390,8132,150,4r3J-VqVatQ
TORINO-INTER 0-2 | HIGHLIGHTS | Inter Keep the Scudetto Race Alive | Serie A 2024/25,2025-05-11T19:09:30Z,684448,10024,337,8244wZsV66Y
⏱️ MINUTO A MINUTO | FC Barcelona vs Real Madrid | El Clásico,2025-05-11T16:35:28Z,2289888,12525,193,mYNLY_-x3U4
Cedric Maxwell tells a story of trash talking Bernard King and it BACKFIRED! 😂 #shorts,2025-05-10T22:27:29Z,182219,9328,266,q2j-bLTpJ6o
How Tuff Hedeman Became a PBR ICON Bulls Couldn’t Break,2025-05-10T22:12:06Z,3539,42,7,qoSJ7-N1CsQ
🚨😱THE 49ERS JUST DROPPED A MOVE THAT WILL GO DOWN IN HISTORY!,2025-05-10T19:22:00Z,330,2,0,H6R4hKzC8yI
LAZIO-JUVENTUS 1-1 | HIGHLIGHTS | Late Vecino Equaliser Breaks Juve Hearts | Serie A 2024/25,2025-05-10T18:52:37Z,517315,7374,478,NIlbDUBiHEg
COMO-CAGLIARI 3-1 | HIGHLIGHTS | Como Take Sixth Consecutive Win! | Serie A 2024/25,2025-05-10T15:49:12Z,285568,5101,267,ajyiUlHhw_s
Highlights | Bangladesh A vs New Zealand A 2025 | 3rd OD | Cricket | T Sports,2025-05-10T12:06:59Z,509856,6354,289,8E9W_lWSbcw
LIVE | Bangladesh A vs New Zealand A 2025 | 3rd OD | Cricket | T Sports,2025-05-10T11:18:55Z,3234274,27377,64,7f8Hd859X0Y
MILAN-BOLOGNA 3-1 | HIGHLIGHTS | 36ª GIORNATA | SERIE A ENILIVE 2024/25,2025-05-10T00:44:06Z,92767,1512,63,ha8R_idrpnI
POV I just woke up in a new princess Bugatti ￼￼,2025-05-09T23:28:25Z,59,3,N/A,epKfc1F8CEk
🚨 EVERYTHING CHANGES NOW: THE 49ERS JUST DROPPED A EARTH-SHATTERING UPDATE!,2025-05-09T22:22:01Z,1040,14,3,kNFYp_jFbe0
Bernard King tells a story about ALMOST SIGNING with Larry Bird and the Celtics! 🔥 #shorts,2025-05-09T19:20:16Z,575314,17368,501,hHocuySmCKI
Stephen A. takes NO ISSUE with LeBron’s Luka duo comments 🗣️ ‘He’s 100% correct!’ | First Take,2025-05-09T16:19:37Z,441571,3598,1830,qPNtXoruXR8
This is how nowadays football stars would look if they played in the 80s! #fifaworldcup,2025-05-09T11:44:57Z,18439,220,6,PMiv2OFcxRw
Mark Price tells a story about how he developed his SHOOTING! 🔥 #shorts,2025-05-09T01:13:34Z,18874,1070,77,TVp96z6o2FA
🚨 49ERS MOVE REVEALS A PLAN NO ONE COULD’VE PREDICTED! SAN FRANCISCO 49ERS NEWS TODAY 08.05.2025,2025-05-08T17:03:00Z,319,7,1,OyM0qzn7YzM
STEPHEN A.'S NEW YORK KNICKS PRAYERS WERE ANSWERED! 🙏 'WE HAVE BEEN STARVING!' | First Take,2025-05-08T14:49:15Z,952481,12738,2756,_Nf0f78EXDw
🚨 THE 49ERS JUST MADE A STUNNING ANNOUNCEMENT THAT HAS RIVALS COMPLETELY SHAKEN!,2025-05-08T00:23:01Z,380,7,1,xDkfa9byNJ4
"Galatasaray, Osimhen'in Bonservisini Alacak Mı? Emre Kaplan Açıkladı! / A Spor / Spor Merkezi",2025-05-07T19:44:19Z,44902,357,28,FWp3hmmwNoU
