Title,Date,Views,Likes,Comments,Video ID
LEONEL FERNANDEZ DURANTE CELEBRACION DE MISA EN HONOR A LAS VÍCTIMAS DERRUMBE EN JET SET,2025-04-15T15:18:08Z,1265,13,0,-5-b_QLmVIg
COMO C@R@JO VINIERON A PARAR LOS ESCOMBROS DE LA DISCOTECA JET SET A LA CIUDAD DE SANTIAGO?,2025-04-14T17:58:17Z,1649,13,1,aFW7SRAxzdM
ED Walking Into a Political Trap 72hr ED ANENGE AVA MUJERI,2025-04-13T11:43:13Z,1229,14,1,EQ7z7mIa2qk
"￼ Entonando sus canciones, ￼ así es como recordará el pueblo dominicano a nuestro RUBYY PÉREZ",2025-04-12T13:30:59Z,1005,12,0,T_s1Z2nfsyw
SI NO TENEMOS INSTALACIONES FUERTES QUE REGULEN LAS CONSTRUCCIONES “ESTO VA A VOLVER A PASAR”,2025-04-12T13:12:37Z,948,9,0,exqDHqOZgfk
`YO SENTÍ QUE RUBYY ME CANTO A MI` EN SU PRESENTACIÓN EL LOS SOBERANOS  MANTUVO CONTACTO VISUAL,2025-04-12T01:06:10Z,54,3,0,xtML-P7S_ZE
ACROARTE SE ANOTÓ UN PUNTO CON EL HOMENAJE QUE LE HICIERA A RUBYY PEREZ EN LOS PREMIOS SOBERANOS,2025-04-12T00:42:10Z,16,0,0,jAaGbZzGx48
"RAFA ROSARIO.. RUBYY, SIEMPRE TE QUISE Y SIEMPRE TE VOY A QUERER ´´TU MÚSICA TE MANTENDRÁ PRESENTE´´",2025-04-12T00:15:09Z,25,1,0,VFcnu0gNWL4
"LA MISIÓN...¿ALGUNA VEZ TE HAS PUESTO A PENSAR, QUE MUEVE A UNA ORGANIZACIÓN?",2025-04-11T23:15:24Z,27,4,3,qVXwryD4iWE
A Message to Canada,2025-04-11T22:48:48Z,1805998,105050,27391,hcrL88Jwhsg
"🔴 ARY NEWS LIVE | Latest Pakistan News 𝟐𝟒/𝟕 | Headlines, Bulletins, Breaking News",2025-04-11T16:31:43Z,110864211,214383,0,RqUZ2Fv9l8w
PALABRAS DE SOLIDARIDAD POR PARTE DEL PASTOL EZEQUIEL MOLINA EN HOMENAJE A RUBYY PEREZ EN EL TEATRO,2025-04-11T13:18:56Z,64,1,1,As7_7KIVCcA
Cancel Me Canada: A Live Stream With MCGA,2025-04-11T08:15:37Z,4382,452,39,QvZUIogHt94
PRESIDENTE LUIS ABINADER ASISTE A LOS CORTEJOS FUNEBRES DE NUESTRO RUBYY PEREZ,2025-04-11T01:28:50Z,50,2,0,n-a5BC6HbRE
"Scandale dans le porno français : « Dans ces vidéos, on nous a totalement déshumanisées »",2025-04-10T22:35:29Z,301057,5939,1316,QjEyVbYQaQk
YO SIEMPRE TE VOY A RECORDAR COMO EL GRAN SER HUMANO QUE FUISTE MI QUERIDO RUBYY,2025-04-10T22:02:26Z,158265,3251,16,rUK08hgrHlw
A Major Pattern Shift To An Extended April Cold Snap,2025-04-10T05:07:32Z,355,5,0,la8XtMAThZU
How To Heal America with a Return To Christian Values,2025-04-09T14:00:46Z,25,3,0,cumTmxUrUF4
Cancel Me Canada: A Live Stream With MCGA,2025-04-09T06:10:40Z,5847,576,29,fz-BwvhrOcA
SOY DEMASIADO AGRES!VA RESPONDIENDO A LOS TR4NSFOBOS? (Polémica de Mia Skylar con Carmen López),2025-04-08T23:42:56Z,10649,712,272,eHncuYQ1z8c
Hija de Rubi Pérez asegura encontraron a su padre gracias a que Este pudo cantar,2025-04-08T19:02:16Z,577,7,0,PGhW_Uu3Hsk
"HOSPITALES DEBERÁN EXIGIR A LOS HAITIANOS: IDENTIFICACIÓN , CARTA DE TRABAJO Y PRUEBA DOMICILIARIA",2025-04-07T02:27:23Z,92,0,0,Vd1BCh47xng
SE ACABARON LOS ALQUILERES DE VIVIENDAS Y LOCALES COMERCIALES A LOS HAITIANOS ILEGALES EN RD,2025-04-07T02:09:28Z,1589,15,2,3P1C_txwmKo
REFORZARAN LA VIGILANCIA FRONTERIZA CON 1500 SOLDADOS ADICIONALES A LOS 9000QUE YA PRESTAN SERVICIO,2025-04-07T01:43:42Z,1079,4,0,TDqPtUbwHzo
“TRAIDOR A LA PATRIA”…..MIRA PORQUE HIPÓLITO MEJIA PIENSA QUE SON NECESARIOS LOS HAITIANOS EN RD,2025-04-06T18:28:50Z,3240,29,12,i-6FgUud1lU
Ione Belarra pide a Irene Montero LA CREACIÓN DE UNA COALICIÓN DE IZQUIERDAS DEL NO A LA GUERRA,2025-04-06T14:11:18Z,4011,394,28,Y_24XBZs1HE
[속보] 윤석열 파면에 전한길 고개숙였다 / 채널A,2025-04-04T02:45:41Z,485593,12769,10758,xHFvZh2TEoo
YO TENGO VÍDEOS DE GENTE ENCAPUCHADAS Y ARMADAS QUE FUERON A FRIUSA A PROVOCAR A LOS HAITIANOS,2025-04-03T02:34:40Z,112,5,0,WQxAAU3yqaY
HOY EN REPÚBLICA DOMINICANA DESDE IN 30 A UN 40% DE LAS PARTURIENTAS EN 2024 FUERON HAITIANAS,2025-04-03T01:03:42Z,3499,46,0,1Q-R4rYrFYU
LN+ EN VIVO | Últimas noticias de la Argentina y el mundo,2025-04-02T11:26:02Z,45164392,46388,0,OR9MH16MKrg
🔴 AXEL KICILLOF PROTEGE DELINCUENTES y castiga a los ciudadanos de bien ¡ES UN INUTIL!🔴,2025-04-02T03:23:41Z,5510,191,0,YFGcOSkbbGg
Forecast: A Multi-Day Severe #Weather Outbreak for the 1st week in April 2025 #short #wx,2025-04-01T20:35:40Z,262,4,0,UtCKDJT_yBE
A Dangerous Multi-Day Severe Weather Outbreak,2025-04-01T18:52:00Z,492,6,2,nhYBYfHo3H4
Why America Just Started a $10 Billion Trade War With Canada?,2025-04-01T07:00:06Z,96,2,2,t-KiEtv1KIE
"Notre émission spéciale. Le Pen, Sarkozy : au nom de la loi",2025-03-31T17:10:37Z,668355,13370,2205,J9GHlhhqS-E
Detailing The Widespread Multi-Day Severe Weather Outbreak - Weather Forecast,2025-03-29T07:05:19Z,242,2,0,XMfPkaFJMlI
POTENTE TERREMO SACUDE BIRMANIA DEJANDO MUERTES Y DESTRUCCION A SU PASO,2025-03-28T17:13:21Z,56,1,0,2HVWeyle3bs
POTENTE TERREMO SACUDE BIRMANIA DEJANDO MUERTES Y DESTRUCCION A SU PASO,2025-03-28T17:08:39Z,477,12,0,Si9XkYDWqbA
POTENTE TERREMO SACUDE BIRMANIA DEJANDO MUERTES Y DESTRUCCION A SU PASO,2025-03-28T17:05:13Z,504,2,0,nBvl41inNw8
কাদাঁমাটি থেকে কই টেংরা পুঁটি  টাকি মাছ ধরলাম || I caught a tengra fish from the mud ||,2025-03-27T04:03:00Z,13,3,3,CJBSTUv9AEo
"Top 7 travel hacks to help you plan a memorable, less costly trip",2025-03-26T03:42:40Z,123,2,0,ub2k9x_Dp88
AI Meets Macro Investing: Optimizing Portfolios in a Shifting Economy,2025-03-25T06:17:46Z,82,3,1,70qGSlKFwUo
"How Load Shedding Was Done for 18 Hours in the Past, Kulman Ghising Exposed #nepalshow",2025-03-23T08:26:25Z,82805,2813,247,RRVoANViNyY
What happens if you step into a black hole? #ViralMoment #WhatsHot #TrendingNow,2025-03-22T21:51:07Z,412,7,4,07J32L-JbI4
¡KICCILOF HUMILLADO por defender a CRISTINA! dice con una BURRADA y la provincia TOTALMENTE HUNDIDA,2025-03-22T21:17:41Z,774,17,3,yp7c3n-bF0I
