Title,Date,Views,Likes,Comments,Video ID
O SEGREDO DA CORCOVA DO CAMELO DESVENDADO #shorts,2024-05-14T14:58:23Z,11006,390,2,T1kOnxwh2B8
Cachorro Na Água Há 6 Dias é Salvo Graças A Outro Cachorro na Enchente Rio Grande do Sul,2024-05-13T23:13:00Z,62130,4390,170,oC71ElkptfQ
BAND ON THE ROAD #parade #majorette #shortsfeed #shortvideo #trending #viral #amazing,2024-05-11T11:34:50Z,47,3,0,9IJZ8vhH7_E
O Amor Transformou A Vida Deste Cachorro!  Resgate Antes e Depois,2024-05-02T22:02:00Z,99190,23960,939,HwBlsXtnTFc
Cachorrinho Que Entra na Frente Para Proteger Irmã Tem a Vida Transformada pelo Amor,2024-05-02T20:02:00Z,516446,83149,1610,4T9Ht7Howzo
Cachorro de Rua è Resgatado E Fica Muito Feliz Com a Sua Nova Chance de Vida,2024-04-28T20:11:00Z,92491,17326,407,7ax0zijEnGQ
Chico usa su Carro de Control Remoto para Alimentar a Gatitos Callejeros,2024-04-28T00:00:02Z,5048,595,28,6Px78PDIsg4
Máquina diferente cavalo de passada em Caruaru Pernambuco a venda,2024-04-27T16:53:58Z,86586,3904,20,FhBK5EIexR4
Cachorro Que Havia Perdido a Esperança Volta a Ter Motivos Para Sorrir,2024-04-26T00:25:00Z,106350,22770,657,a9ApHofThSY
Menino Se Emociona com Cachorro em Sua Primeira Visita A Um Abrigo de Animais,2024-04-24T22:23:00Z,2018907,167463,1602,QozIynBleUk
Such A Cute Pitbull Pup ! #pitbull #dog #shorts,2024-04-19T20:05:18Z,1840,77,3,-k-skkANuwE
Hair drying on the dog 🐕🐕🐕,2024-04-01T16:37:12Z,87,2,0,ws41g6-in-U
O Amor Cura: Gata Resgatada Totalmente Paralisada Volta a Andar,2024-03-30T18:03:00Z,342616,57276,1383,z4tnNSKvy9o
A Dor da Separação: Cachorro Chorava Esperando Tutor Voltar,2024-03-28T23:08:00Z,194782,36915,675,Xj1RSwORTNI
