Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
"⚠️ A méditer n°63⚠️ -- ""L'Humain"" | #squidgame2  #frontman #shorts #edit #motivation #squidgame3",2025-08-01T23:54:40Z,47777,1770,4.679218876,4.679218876,34,FilmAnimation,60,Vg1exR8-yKk,2025-8-02T00:00:00Z,0.03704711472,0.0007116394918,1,11-100 Comments,<= 1 week
💒(1-5) LA OBLIGAN A CASARSE CON EL EX DE SU HERMANA | Zutaboro Reijou wa Ane no Moto Konyakusha,2025-08-01T23:30:56Z,36901,2547,4.567038135,4.567038135,93,FilmAnimation,1736,O704Cms63Rw,2025-8-02T00:00:00Z,0.06902251971,0.002520256904,1,11-100 Comments,<= 1 week
A terrible month 2025 | A Thriller Movies 2025 New Releases | Based On True Story 2025,2025-08-01T23:05:06Z,21371,158,4.329824844,4.329824844,7,FilmAnimation,5737,B6tx3rLIzdg,2025-8-02T00:00:00Z,0.007393196388,0.0003275466754,1,1-10 Comments,<= 1 week
Charlie ayudará a Alan a conseguir una cita? Serie dos hombres y medio #humor #comedia #series #fun,2025-08-01T23:00:54Z,48804,1761,4.688455418,4.688455418,4,FilmAnimation,59,qvFpB0vqkgo,2025-8-02T00:00:00Z,0.03608310794,8.20E-05,1,1-10 Comments,<= 1 week
Baseball Timmy! 🐑 Shaun the Sheep 🐑 - Cartoons for Kids 🐑 Full Episodes Compilation [1 hour],2025-08-01T23:00:55Z,330484,796,5.519150438,5.519150438,0,FilmAnimation,3607,t1uI4Xmya28,2025-8-02T00:00:00Z,0.002408588615,0,1,No Comments,<= 1 week
DESCUBRA A PALAVRA! #desafiante #viral,2025-08-01T22:56:02Z,83447,635,4.921410728,4.921410728,75,FilmAnimation,15,ZT70dWf04Aw,2025-8-02T00:00:00Z,0.007609620478,0.0008987740722,1,11-100 Comments,<= 1 week
THIS PLAYER IS A LIER IN SQUID GAME,2025-08-01T22:47:53Z,28834,270,4.459904894,4.459904894,7,FilmAnimation,19,vBsToHZAizc,2025-8-02T00:00:00Z,0.009363945342,0.0002427689533,1,1-10 Comments,<= 1 week
O lugar onde mora a esperança | Documentário,2025-08-01T22:41:35Z,28024,3179,4.447530124,4.447530124,327,FilmAnimation,4917,uHfIr6oJalQ,2025-8-02T00:00:00Z,0.1134384813,0.0116685698,1,101-1000 Comments,<= 1 week
A Greek Tale - I'm The Reason You Have Summer And Winter,2025-08-01T22:41:54Z,1751168,57888,6.243327813,6.243327813,3886,FilmAnimation,1299,CVRUPTwBGIw,2025-8-02T00:00:00Z,0.03305679409,0.002219090344,1,1001+ Comments,<= 1 week
CEOse disfraza de mendigo x probar a vendedora.¡Sin saber q le compra 1 coche con su último centavo!,2025-08-01T22:30:20Z,31474,672,4.49795194,4.49795194,17,FilmAnimation,7191,x5seGGyIvfE,2025-8-02T00:00:00Z,0.02135095634,0.0005401283599,1,11-100 Comments,<= 1 week
Reencarnó el día que volvió a la mansión. Humilló a falsos padres y se volvió dueña del imperio !!,2025-08-01T22:01:02Z,205321,4920,5.312433371,5.312433371,103,FilmAnimation,6589,phZn1g97dk4,2025-8-02T00:00:00Z,0.02396247827,0.0005016535084,1,101-1000 Comments,<= 1 week
"The Decline Of Western Civilization, Part II: The Metal Years | FULL MOVIE | Music Documentary",2025-08-01T21:45:06Z,30014,815,4.477323878,4.477323878,51,FilmAnimation,5594,uH5x6ol3Pzc,2025-8-02T00:00:00Z,0.0271539948,0.001699207037,1,11-100 Comments,<= 1 week
A LIGA DA JUSTIÇA DESCOBRIU QUE SEMPRE FORAM ROBÔS! -RECAP,2025-08-01T21:30:16Z,15002,956,4.176149161,4.176149161,38,FilmAnimation,1159,jepww4UYouU,2025-8-02T00:00:00Z,0.06372483669,0.002532995601,1,11-100 Comments,<= 1 week
The Hitch-Hiker (1953) Is A Must For Film Noir Fans,2025-08-01T21:04:21Z,29310,364,4.467015818,4.467015818,28,FilmAnimation,4233,GtVOet_2_Y8,2025-8-02T00:00:00Z,0.01241896963,0.0009553053565,1,11-100 Comments,<= 1 week
FAMILY MOVIE about a dying mother’s last wish and a road to forgiveness | Drama | Full HD,2025-08-01T21:00:45Z,26941,156,4.430413712,4.430413712,9,FilmAnimation,5434,fimKLLozzyM,2025-8-02T00:00:00Z,0.005790430942,0.0003340633236,1,1-10 Comments,<= 1 week
A quien no haya visto esta película se la RECOMIENDO | AMAR,2025-08-01T21:00:06Z,501804,4524,5.700534119,5.700534119,309,FilmAnimation,11221,s_MQavaKECg,2025-8-02T00:00:00Z,0.009015472176,0.000615778272,1,101-1000 Comments,<= 1 week
SERES DESCONHECIDOS INVADEM A TERRA E USAM MULHERES BONITAS PARA SE REPRODUZIR E DOMINAR O PLANETA,2025-08-01T20:50:00Z,2986,115,3.475089803,3.475089803,4,FilmAnimation,685,Bv6TTknJAh0,2025-8-02T00:00:00Z,0.03851306095,0.001339584729,1,1-10 Comments,<= 1 week
ZARA DERRUBOU A BELINHA DA BIKE E HUMILHOU ELA DANDO GRAU! ELA SE MACHUCOU!,2025-08-01T20:45:01Z,121422,3415,5.084297382,5.084297382,96,FilmAnimation,542,mWZQgHBVoAs,2025-8-02T00:00:00Z,0.02812505147,0.0007906310224,1,11-100 Comments,<= 1 week
"Humillaron A La Obrera Sin Saber Que Era Hija De Un Millonario, Todos Acabaron De Rodillas",2025-08-01T20:00:27Z,5136,39,3.710625015,3.710625015,2,FilmAnimation,4205,k2Bkqg3rRn0,2025-8-02T00:00:00Z,0.007593457944,0.0003894080997,1,1-10 Comments,<= 1 week
Zootopia 2 Snake Lost a Fang,2025-08-01T20:00:02Z,17813,311,4.250737068,4.250737068,2,FilmAnimation,14,2m_xNnx44CA,2025-8-02T00:00:00Z,0.01745915904,0.0001122775501,1,1-10 Comments,<= 1 week
A Night You Will Never Forget | TWAS THE NIGHT | Full Horror Movie,2025-08-01T19:58:54Z,21715,103,4.336759834,4.336759834,9,FilmAnimation,4448,D73Kj3F1j1w,2025-8-02T00:00:00Z,0.004743265024,0.0004144600507,1,1-10 Comments,<= 1 week
Dangerous daughter 2025 | A Thriller Movies 2025 New Releases | Based On True Story 2025,2025-08-01T19:30:06Z,120708,696,5.081736054,5.081736054,59,FilmAnimation,4704,J4C9abBbLvM,2025-8-02T00:00:00Z,0.005765980714,0.0004887828479,1,11-100 Comments,<= 1 week
She Just Closed Her Eyes for a Moment… Then Everything Changed,2025-08-01T19:19:54Z,9031,735,3.955735842,3.955735842,62,FilmAnimation,1410,v9l5yygTp-4,2025-8-02T00:00:00Z,0.08138633595,0.006865241944,1,11-100 Comments,<= 1 week
THE BAD GUYS 2 All Movie Clips (2025),2025-08-01T19:15:00Z,357009,4764,5.552679165,5.552679165,267,FilmAnimation,620,HXcUk8is_KE,2025-8-02T00:00:00Z,0.01334420141,0.0007478803055,1,101-1000 Comments,<= 1 week
Riding a Scooter Near The Road #robocarpoli #shorts,2025-08-01T19:00:52Z,85010,856,4.929470016,4.929470016,0,FilmAnimation,54,qPkQPIoHA5w,2025-8-02T00:00:00Z,0.0100694036,0,1,No Comments,<= 1 week
A Tough Mission To Save His Wife | 11 Blocks | Full Action Movie,2025-08-01T19:00:36Z,4429,92,3.64630568,3.64630568,5,FilmAnimation,4564,cAfh_-3Z3sc,2025-8-02T00:00:00Z,0.02077218334,0.001128923007,1,1-10 Comments,<= 1 week
"Fue arrojada a un abismo de serpientes, volvió como CEO para vengarse de su esposo",2025-08-01T19:00:32Z,12972,108,4.11300694,4.11300694,3,FilmAnimation,4580,Me-Nbl6q-zo,2025-8-02T00:00:00Z,0.008325624422,0.0002312673451,1,1-10 Comments,<= 1 week
[4K] Filme de aventura | Tarântulas gigantes atacam a cidade! | Melhores filmes completos dublados,2025-08-01T19:00:09Z,50441,261,4.702783688,4.702783688,3,FilmAnimation,4998,6RhRB6_ba-Y,2025-8-02T00:00:00Z,0.005174362126,5.95E-05,1,1-10 Comments,<= 1 week
ESPN SC| Ryan Clark sees Eagles as a real contender to land Micah Parsons after he requested a trade,2025-08-01T18:54:46Z,12221,100,4.087106744,4.087106744,52,FilmAnimation,617,lQG3wxF_YeA,2025-8-02T00:00:00Z,0.008182636445,0.004254970952,1,11-100 Comments,<= 1 week
SECRET GOVERNMENT AGENT exposed — now begins a deadly race for survival,2025-08-01T18:21:28Z,27136,128,4.433545831,4.433545831,3,FilmAnimation,5722,OnLUQlgDIfo,2025-8-02T00:00:00Z,0.004716981132,0.0001105542453,1,1-10 Comments,<= 1 week
Nadie se atrevió a salvar a la niña atacada por un perro… ¡solo ella! El CEO lo vio y se enamoró!,2025-08-01T18:00:48Z,129007,1502,5.110613276,5.110613276,95,FilmAnimation,3843,msEp608GJyI,2025-8-02T00:00:00Z,0.01164277907,0.0007363941492,1,11-100 Comments,<= 1 week
An adventurous thriller for a perfect evening watch | Survive or Die | Adventure thriller,2025-08-01T18:00:16Z,6527,54,3.814713613,3.814713613,0,FilmAnimation,4596,CEo2C8BCg6U,2025-8-02T00:00:00Z,0.008273326184,0,1,No Comments,<= 1 week
A Amy salvou o baby Sonic #shorts #animation #cartoon #funny #sonic,2025-08-01T17:41:43Z,208991,1195,5.320127584,5.320127584,0,FilmAnimation,19,9atTl6Y6Gco,2025-8-02T00:00:00Z,0.005717949577,0,1,No Comments,<= 1 week
TRISH D€AD PAN TIK TOK LIVE+CHYNNA FOUND A DUNKIRK & GILLY PRIEST👀,2025-08-01T17:09:50Z,33651,1173,4.526997975,4.526997975,97,FilmAnimation,484,XqTvnpGYOh0,2025-8-02T00:00:00Z,0.03485780512,0.002882529494,1,11-100 Comments,<= 1 week
"Man On A Ledge (2012) | Full Movie | Sam Worthington, Elizabeth Banks, Jamie Bell",2025-08-01T17:00:55Z,28352,390,4.4525837,4.4525837,40,FilmAnimation,6141,hhYBukIhS2A,2025-8-02T00:00:00Z,0.01375564334,0.001410835214,1,11-100 Comments,<= 1 week
Il a juré de ne plus jamais perdre. 🥹 | One Piece,2025-08-01T17:02:01Z,26308,1557,4.420087833,4.420087833,63,FilmAnimation,46,_A2wK9yF_E0,2025-8-02T00:00:00Z,0.05918351832,0.002394708834,1,11-100 Comments,<= 1 week
Az elveszett ember | Utolsó Fejezet - A zöld vihar | Rajongói Pókember Sorozat (4K),2025-08-01T17:00:06Z,1950,68,3.290034611,3.290034611,17,FilmAnimation,3046,9UY1iGNXGWo,2025-8-02T00:00:00Z,0.03487179487,0.008717948718,1,11-100 Comments,<= 1 week
"""Are you a Mexi CAN or a Mexi CAN'T?"" | Once Upon a Time in Mexico | CLIP",2025-08-01T17:00:21Z,17055,101,4.231851724,4.231851724,6,FilmAnimation,199,CWlcv7UW6m4,2025-8-02T00:00:00Z,0.005922017004,0.0003518029903,1,1-10 Comments,<= 1 week
"Su marido le regaló un collar carísimo, pero a ella solo le dio miedo.#drama #love #movie #shorts",2025-08-01T17:00:29Z,87340,5105,4.941213188,4.941213188,47,FilmAnimation,107,OYrpKQKe6uw,2025-8-02T00:00:00Z,0.05844973666,0.0005381268605,1,11-100 Comments,<= 1 week
Van Damme Stunts His Way Out of a Tractor Threat | NOWHERE TO RUN,2025-08-01T16:57:00Z,8539,45,3.931407014,3.931407014,2,FilmAnimation,143,6R-9Y5uXFrU,2025-8-02T00:00:00Z,0.005269937932,0.0002342194636,1,1-10 Comments,<= 1 week
As cenas mais hilárias de Corra que a Polícia Vem Aí! 33 1/3,2025-08-01T16:01:34Z,25766,315,4.411047002,4.411047002,6,FilmAnimation,608,rEsQl01lefs,2025-8-02T00:00:00Z,0.01222541334,0.0002328650159,1,1-10 Comments,<= 1 week
Rechazan a una joven por llevar la pulsera de VOX y el rapero Jincho pide el voto para Abascal,2025-08-01T16:00:04Z,41816,4152,4.621342487,4.621342487,1245,FilmAnimation,971,EUn_lKKGk_M,2025-8-02T00:00:00Z,0.09929213698,0.02977329252,1,1001+ Comments,<= 1 week
TROUBLE IN THE HOOD (THE MOVIE) EBUBE OBIO STEPHEN ODIMGBE - 2025 LATEST NIGERIAN NOLLYWOOD MOVIE,2025-08-01T16:00:23Z,208805,4241,5.319740894,5.319740894,421,FilmAnimation,9966,FcGFQ5ttCkA,2025-8-02T00:00:00Z,0.02031081631,0.002016235243,1,101-1000 Comments,<= 1 week
Every Time Jade Casually Writes a Masterpiece?! 🤯🎵 | Electric Bloom | @disneychannel,2025-08-01T15:45:03Z,3204,102,3.505692507,3.505692507,0,FilmAnimation,136,KLXzkVyglWM,2025-8-02T00:00:00Z,0.03183520599,0,1,No Comments,<= 1 week
"In a World Ruled by Emotions, His Emotion Is Logic—And It Dominates Them All-Manhwa Recap",2025-08-01T15:43:06Z,95255,3213,4.978887781,4.978887781,125,FilmAnimation,3728,bbnkOFH8GtI,2025-8-02T00:00:00Z,0.03373051283,0.001312267073,1,101-1000 Comments,<= 1 week
Matt Damon’s Autographs are NOT WORTH A LOT 😂,2025-08-01T15:33:09Z,72909,953,4.862781142,4.862781142,16,FilmAnimation,51,Kwgw-HW4Z_4,2025-8-02T00:00:00Z,0.01307108862,0.0002194516452,1,11-100 Comments,<= 1 week
The Summer I Turned Pretty Season 3: Hidden Clues Hint the Series Will End Very Differently,2025-08-01T15:30:33Z,4423,38,3.645716939,3.645716939,2,FilmAnimation,255,qPFRYw5aALk,2025-8-02T00:00:00Z,0.008591453764,0.0004521817771,1,1-10 Comments,<= 1 week
¿LES CAEN BIEN LOS PRIMARCAS A LOS CUSTODIOS? | 40K LORE,2025-08-01T15:30:00Z,27397,3370,4.43770301,4.43770301,140,FilmAnimation,63,0DGvfjEmZOo,2025-8-02T00:00:00Z,0.1230061686,0.005110048545,1,101-1000 Comments,<= 1 week
FIRST TAKE | Micah Parsons might DEMAND a TRADE after Cowboys fallout! - Stephen A. drops BOMBSHELL,2025-08-01T15:15:39Z,11105,66,4.045518563,4.045518563,25,FilmAnimation,795,3Ww7Vh76evA,2025-8-02T00:00:00Z,0.005943268798,0.002251238181,1,11-100 Comments,<= 1 week
😱 SUBARU CROSSTREK 2025: ¡Casi PERFECTO! El SUV que HUMILLA a la competencia 🔥,2025-08-01T23:24:46Z,1108,45,3.04453976,3.04453976,0,AutosVehicles,490,evJzaCodYLU,2025-8-02T00:00:00Z,0.04061371841,0,1,No Comments,<= 1 week
"TSUNODA RETA a RED BULL!! ""NO ME COMPAREN CON MAX, NO TENEMOS EL MISMO AUTO"" GP HUNGRIA 2025",2025-08-01T23:15:02Z,4982,278,3.697403723,3.697403723,32,AutosVehicles,810,hmojKaelPdA,2025-8-02T00:00:00Z,0.05580088318,0.006423123244,1,11-100 Comments,<= 1 week
