Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
"⚠️ A méditer n°63⚠️ -- ""L'Humain"" | #squidgame2  #frontman #shorts #edit #motivation #squidgame3",2025-08-01T23:54:40Z,47777,1770,4.679218876172545,4.679218876172545,34,FilmAnimation,60,Vg1exR8-yKk,2025-8-02T00:00:00Z,0.037047114720472195,0.0007116394918056805,1,11-100 Comments,<= 1 week
💒(1-5) LA OBLIGAN A CASARSE CON EL EX DE SU HERMANA | Zutaboro Reijou wa Ane no Moto Konyakusha,2025-08-01T23:30:56Z,36901,2547,4.567038135497739,4.567038135497739,93,FilmAnimation,1736,O704Cms63Rw,2025-8-02T00:00:00Z,0.06902251971491287,0.002520256903606948,1,11-100 Comments,<= 1 week
A terrible month 2025 | A Thriller Movies 2025 New Releases | Based On True Story 2025,2025-08-01T23:05:06Z,21371,158,4.329824844312919,4.329824844312919,7,FilmAnimation,5737,B6tx3rLIzdg,2025-8-02T00:00:00Z,0.007393196387628094,0.00032754667540124465,1,1-10 Comments,<= 1 week
Charlie ayudará a Alan a conseguir una cita? Serie dos hombres y medio #humor #comedia #series #fun,2025-08-01T23:00:54Z,48804,1761,4.688455418452213,4.688455418452213,4,FilmAnimation,59,qvFpB0vqkgo,2025-8-02T00:00:00Z,0.03608310794197197,8.196049504139005e-05,1,1-10 Comments,<= 1 week
Baseball Timmy! 🐑 Shaun the Sheep 🐑 - Cartoons for Kids 🐑 Full Episodes Compilation [1 hour],2025-08-01T23:00:55Z,330484,796,5.519150438466395,5.519150438466395,0,FilmAnimation,3607,t1uI4Xmya28,2025-8-02T00:00:00Z,0.0024085886154851673,0.0,1,No Comments,<= 1 week
DESCUBRA A PALAVRA! #desafiante #viral,2025-08-01T22:56:02Z,83447,635,4.921410727991114,4.921410727991114,75,FilmAnimation,15,ZT70dWf04Aw,2025-8-02T00:00:00Z,0.0076096204776684604,0.0008987740721655661,1,11-100 Comments,<= 1 week
THIS PLAYER IS A LIER IN SQUID GAME,2025-08-01T22:47:53Z,28834,270,4.459904894119978,4.459904894119978,7,FilmAnimation,19,vBsToHZAizc,2025-8-02T00:00:00Z,0.009363945342304223,0.0002427689533189984,1,1-10 Comments,<= 1 week
O lugar onde mora a esperança | Documentário,2025-08-01T22:41:35Z,28024,3179,4.447530124309636,4.447530124309636,327,FilmAnimation,4917,uHfIr6oJalQ,2025-8-02T00:00:00Z,0.11343848130174136,0.011668569797316586,1,101-1000 Comments,<= 1 week
A Greek Tale - I'm The Reason You Have Summer And Winter,2025-08-01T22:41:54Z,1751168,57888,6.2433278125443445,6.2433278125443445,3886,FilmAnimation,1299,CVRUPTwBGIw,2025-8-02T00:00:00Z,0.033056794093998976,0.0022190903442730796,1,1001+ Comments,<= 1 week
CEOse disfraza de mendigo x probar a vendedora.¡Sin saber q le compra 1 coche con su último centavo!,2025-08-01T22:30:20Z,31474,672,4.49795194048344,4.49795194048344,17,FilmAnimation,7191,x5seGGyIvfE,2025-8-02T00:00:00Z,0.021350956344919614,0.0005401283599161213,1,11-100 Comments,<= 1 week
Reencarnó el día que volvió a la mansión. Humilló a falsos padres y se volvió dueña del imperio !!,2025-08-01T22:01:02Z,205321,4920,5.312433370791454,5.312433370791454,103,FilmAnimation,6589,phZn1g97dk4,2025-8-02T00:00:00Z,0.023962478265739988,0.0005016535084087843,1,101-1000 Comments,<= 1 week
"The Decline Of Western Civilization, Part II: The Metal Years | FULL MOVIE | Music Documentary",2025-08-01T21:45:06Z,30014,815,4.477323878202748,4.477323878202748,51,FilmAnimation,5594,uH5x6ol3Pzc,2025-8-02T00:00:00Z,0.027153994802425536,0.0016992070367161992,1,11-100 Comments,<= 1 week
A LIGA DA JUSTIÇA DESCOBRIU QUE SEMPRE FORAM ROBÔS! -RECAP,2025-08-01T21:30:16Z,15002,956,4.176149161126549,4.176149161126549,38,FilmAnimation,1159,jepww4UYouU,2025-8-02T00:00:00Z,0.06372483668844155,0.0025329956005865884,1,11-100 Comments,<= 1 week
The Hitch-Hiker (1953) Is A Must For Film Noir Fans,2025-08-01T21:04:21Z,29310,364,4.467015818438435,4.467015818438435,28,FilmAnimation,4233,GtVOet_2_Y8,2025-8-02T00:00:00Z,0.012418969634936881,0.0009553053565336063,1,11-100 Comments,<= 1 week
FAMILY MOVIE about a dying mother’s last wish and a road to forgiveness | Drama | Full HD,2025-08-01T21:00:45Z,26941,156,4.430413711892598,4.430413711892598,9,FilmAnimation,5434,fimKLLozzyM,2025-8-02T00:00:00Z,0.005790430941687391,0.00033406332355888796,1,1-10 Comments,<= 1 week
A quien no haya visto esta película se la RECOMIENDO | AMAR,2025-08-01T21:00:06Z,501804,4524,5.700534118857834,5.700534118857834,309,FilmAnimation,11221,s_MQavaKECg,2025-8-02T00:00:00Z,0.009015472176387594,0.0006157782719946434,1,101-1000 Comments,<= 1 week
