Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
"“Brasileiro descobriu a IA e agora quer gerar holerite, ponto batido e até atestado do além!” #humor",2025-07-05T17:20:01Z,16409,507,4.215082115013175,4.215082115013175,3,FilmAnimation,38,qb6B8ifHGCQ,2025-7-03T00:00:00Z,0.0308976781034798,0.0001828264976537266,28,1-10 Comments,<= 1 month
A cheerful smile may hide the most painful memories.  #diversecomics #webtoonedit #webcomic #artist,2025-07-02T23:40:29Z,308,3,2.4885507165004443,2.4885507165004443,0,FilmAnimation,35,gmtFz2RqwXw,2025-7-03T00:00:00Z,0.00974025974025974,0.0,31,No Comments,<= 1 month
“”HISTÓRIA QUE VAI CURAR A SUA ALMA””… ouça com atenção o final é lindo 😻”” #historiasdevida #segue,2025-07-02T19:36:27Z,2762,117,3.4412236742426123,3.4412236742426123,2,FilmAnimation,89,1nnW57y0T5c,2025-7-03T00:00:00Z,0.042360608254887765,0.000724112961622013,31,1-10 Comments,<= 1 month
[Sold] 2 Bedroom Home with a yard and a spacious garage - Central Portugal,2025-07-02T19:00:06Z,2692,106,3.430075055551939,3.430075055551939,12,FilmAnimation,691,Ww5NSHxPSD8,2025-7-03T00:00:00Z,0.03937592867756315,0.004457652303120356,31,11-100 Comments,<= 1 month
ItsJayden And Asher Gives Mittens a Behavior Card / Mittens Gives a reward for ItsJayden,2025-07-02T18:22:07Z,220,9,2.342422680822206,2.342422680822206,9,FilmAnimation,103,-nwyR6DOxTs,2025-7-03T00:00:00Z,0.04090909090909091,0.04090909090909091,31,1-10 Comments,<= 1 month
What Happens When You Win a Million Dollars?,2025-07-02T16:26:09Z,17169,570,4.234745000628052,4.234745000628052,21,FilmAnimation,81,4zFnhdpDPR8,2025-7-03T00:00:00Z,0.033199370959287086,0.0012231347195526823,31,11-100 Comments,<= 1 month
Incredibox Sprunki OC - A and F (from Alphabet Lore) #incredibox #sprunki #alphabetlore #sprunkioc,2025-07-02T15:45:05Z,596300,1634,5.775464809345739,5.775464809345739,10,FilmAnimation,7,SmwhR4AakHw,2025-7-03T00:00:00Z,0.0027402314271339928,1.677008217340265e-05,31,1-10 Comments,<= 1 month
A PEDIDO DE @narutinedits-n8i,2025-07-02T15:13:39Z,22432,952,4.350867996286564,4.350867996286564,29,FilmAnimation,16,sxoDa-NleBI,2025-7-03T00:00:00Z,0.04243937232524964,0.001292796005706134,31,11-100 Comments,<= 1 month
"The CEO Hated All Fake-Refined Women, But Fell Hard For A Single Mom Who Fixed His Car For Free!",2025-07-02T14:00:24Z,55696,784,4.7458240059402135,4.7458240059402135,25,FilmAnimation,7114,HvoVgmKLb98,2025-7-03T00:00:00Z,0.01407641482332663,0.00044886526860097675,31,11-100 Comments,<= 1 month
Don't compare yourself | A motivational story | Learn english through stories,2025-07-02T11:15:40Z,527,22,2.7218106152125467,2.7218106152125467,13,FilmAnimation,320,NkizrC_x7JA,2025-7-03T00:00:00Z,0.04174573055028463,0.024667931688804556,31,11-100 Comments,<= 1 month
"Coloquei vidro basculante no meu fusca, a restauração quase pronta #automobile #dicas #facavocemesmo",2025-07-02T23:21:29Z,1155,40,3.062581984228163,3.062581984228163,2,AutosVehicles,90,WbpUvMG5lkU,2025-7-03T00:00:00Z,0.03463203463203463,0.0017316017316017316,31,1-10 Comments,<= 1 month
Should You Buy a Golf R or a Tesla Model 3 Daily? | Comparison,2025-07-02T22:30:24Z,1139,29,3.0565237240791006,3.0565237240791006,70,AutosVehicles,1123,w1QBZj6FPX4,2025-7-03T00:00:00Z,0.025460930640913083,0.061457418788410885,31,11-100 Comments,<= 1 month
Bed Cover Install & Review RealTruck BakFlip - The Easiest Truck Bed Upgrade,2025-07-02T22:01:06Z,1516,38,3.1806992012960347,3.1806992012960347,6,AutosVehicles,836,o_x5QIUEPEA,2025-7-03T00:00:00Z,0.025065963060686015,0.00395778364116095,31,1-10 Comments,<= 1 month
Fiat Ducato Superaquecimento no motor #shortvideo #viral #viralvideo #viralshort #shorts #short,2025-07-02T18:27:51Z,1529,26,3.1844074854123203,3.1844074854123203,3,AutosVehicles,16,oS-Q454ZWgQ,2025-7-03T00:00:00Z,0.017004578155657292,0.001962066710268149,31,1-10 Comments,<= 1 month
Courier passando água p o óleo #shortvideo #viral #viralvideo #oficina #ford #viralshort #shorts,2025-07-02T18:19:28Z,768,30,2.885361220031512,2.885361220031512,4,AutosVehicles,176,6VxAc1f6XWs,2025-7-03T00:00:00Z,0.0390625,0.005208333333333333,31,1-10 Comments,<= 1 month
AARON MILLS SINGLE SUNDOWN AUDIO 18 INCH SUBWOOFER POWERED BY A RUTHLESS AUDIO AMPLIFIER,2025-07-02T15:01:14Z,187,7,2.271841606536499,2.271841606536499,8,AutosVehicles,300,bsG2EtZw2SA,2025-7-03T00:00:00Z,0.0374331550802139,0.0427807486631016,31,1-10 Comments,<= 1 month
2026 BMW Review – Luxury Meets the Future!,2025-07-01T08:01:24Z,1,1,0.0,0.0,0,AutosVehicles,247,_FaeIDlME-M,2025-7-03T00:00:00Z,1.0,0.0,32,No Comments,<= 1 year
2025 AMG CLA45S 🔥 WOULD YOU DRIVE THIS DAILY? #cla45amg #mercedesamg #shorts,2025-06-30T15:18:00Z,6216,131,3.793511005792858,3.793511005792858,1,AutosVehicles,28,kmEinJJ9hoE,2025-7-03T00:00:00Z,0.021074646074646073,0.00016087516087516087,33,1-10 Comments,<= 1 year
The Curb Destroyer 💥😬 That front lip never stood a chance… #huracan,2025-06-30T13:14:47Z,27472,724,4.438890277816841,4.438890277816841,26,AutosVehicles,25,H2PQVLTJPEg,2025-7-03T00:00:00Z,0.026354105998835177,0.0009464181712288876,33,11-100 Comments,<= 1 year
"SALVAGE CAR SHOPPING WITH A $50,000 BUDGET",2025-06-29T17:15:16Z,4314576,131117,6.634938123363411,6.634938123363411,4104,AutosVehicles,2250,OTM_fA9-Jzw,2025-7-03T00:00:00Z,0.03038931287802092,0.0009511942772592255,34,1001+ Comments,<= 1 year
