Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
👵🏼💄DE MATILDA A BARBIE ¿QUIÉN ES RUTH HANDLER EN LA PELÍCULA DE BARBIE?,2023-07-30T17:50:05Z,19244,942,4.284295348230526,4.284295348230526,3,FilmAnimation,60,ZySqzabLyn4,2023-8-03T00:00:00Z,0.048950322178341305,0.00015589274579089587,734,1-10 Comments,> 2 years
Smejko a Tanculienka - Dvaja remeselníci,2023-07-29T05:30:10Z,3822714,1693,6.58237180707786,6.58237180707786,0,FilmAnimation,291,qYRLSikB5x8,2023-8-03T00:00:00Z,0.0004428790644552535,0.0,735,No Comments,> 2 years
A Expulsão,2023-07-28T13:00:38Z,0,0,NA,NA,0,FilmAnimation,101,jkkD6Ywp4RY,2023-8-03T00:00:00Z,NA,NA,736,No Comments,> 2 years
A CORREÇÃO É PARA OS FILHOS,2023-07-28T11:57:01Z,36,1,1.5563025007672873,1.5563025007672873,0,FilmAnimation,3617,SGs62AQCK1c,2023-8-03T00:00:00Z,0.027777777777777776,0.0,736,No Comments,> 2 years
Put a finger down YouTube edition! 222 special subscribers! 🎉,2023-07-28T08:18:01Z,719,27,2.8567288903828825,2.8567288903828825,14,FilmAnimation,54,MR8EklEKvGQ,2023-8-03T00:00:00Z,0.037552155771905425,0.019471488178025034,736,11-100 Comments,> 2 years
What if Indonesia countryhumans meets itself as a countryball??? #countryballs #countryhumans,2023-07-26T09:44:19Z,2141,95,3.3306166672944384,3.3306166672944384,8,FilmAnimation,13,Up03pcHD4Ng,2023-8-03T00:00:00Z,0.044371788883699206,0.0037365716954694066,738,1-10 Comments,> 2 years
👻 Ponurý příbĕh o usmrkaném chlapci 👦💼 Máša a Medvěd😲,2023-07-25T08:00:15Z,451897,566,5.6550394581982735,5.6550394581982735,0,FilmAnimation,651,eEcOjbu-bo8,2023-8-03T00:00:00Z,0.0012524978037030561,0.0,739,No Comments,> 2 years
🗺️THE 5 FINGER KHOBAR #shorts,2023-07-22T16:06:28Z,101,9,2.0043213737826426,2.0043213737826426,0,FilmAnimation,58,0KUZ-Kh_HJ4,2023-8-03T00:00:00Z,0.0891089108910891,0.0,742,No Comments,> 2 years
@Restreamio Thanks for the Gift!! and Awesome #giveaway,2023-07-20T20:10:40Z,326,26,2.513217600067939,2.513217600067939,3,FilmAnimation,21,BhkPtw6ATqw,2023-8-03T00:00:00Z,0.07975460122699386,0.009202453987730062,744,1-10 Comments,> 2 years
Here is a South Korea phone case🇰🇷📱,2023-07-20T12:45:54Z,1563,69,3.193958978019187,3.193958978019187,19,FilmAnimation,23,oByiPKI6sto,2023-8-03T00:00:00Z,0.044145873320537425,0.01215611004478567,744,11-100 Comments,> 2 years
Face potrait | drawing 🌝💖,2023-07-17T12:34:13Z,144,15,2.1583624920952498,2.1583624920952498,9,FilmAnimation,54,GYhIsUh6H1I,2023-8-03T00:00:00Z,0.10416666666666667,0.0625,747,1-10 Comments,> 2 years
A Kannada Full Movie | Real Star Upendra | Chandini,2023-07-14T11:15:25Z,1104466,14912,6.043152351045243,6.043152351045243,523,FilmAnimation,8911,hJiPUGDriCA,2023-8-03T00:00:00Z,0.013501547354105966,0.00047353200551216606,750,101-1000 Comments,> 2 years
A glow up for Mr turkey 🦃💅😍,2023-07-08T13:58:34Z,552,26,2.741939077729199,2.741939077729199,15,FilmAnimation,43,qZFIKURabn0,2023-8-03T00:00:00Z,0.04710144927536232,0.02717391304347826,756,11-100 Comments,> 2 years
🗾ALL THE WAY TO VIA RIYADH #shorts,2023-07-08T05:43:02Z,410,9,2.6127838567197355,2.6127838567197355,0,FilmAnimation,18,3Ni5vVWwKY0,2023-8-03T00:00:00Z,0.02195121951219512,0.0,756,No Comments,> 2 years
Buying The Grimace Shake In 360/VR,2023-07-06T22:07:33Z,16561432,60675,7.2190978857586625,7.2190978857586625,504,FilmAnimation,50,2Fg2VixO8Q4,2023-8-03T00:00:00Z,0.0036636324684966855,3.0432151036214744e-05,758,101-1000 Comments,> 2 years
And Just Like That | A pull from the Carrie archives. #shorts #viralshorts #shortsfeed,2023-06-28T01:00:19Z,1075929,24174,6.031783613406967,6.031783613406967,879,FilmAnimation,52,rDenSw56Xu4,2023-8-03T00:00:00Z,0.022468025306502565,0.0008169684059078248,766,101-1000 Comments,> 2 years
Deku Meets the NEW Class 1-A Students | My Hero Academia Year 2 Lightning & Thunder Combo Explained,2023-06-27T13:56:28Z,974345,89305,5.988712760848469,5.988712760848469,851,FilmAnimation,56,6RB4XxXrNgI,2023-8-03T00:00:00Z,0.09165644612534575,0.0008734072633410137,767,101-1000 Comments,> 2 years
#MSA the next time you meet a PRINCE… #shorts #MSAshorts,2023-06-27T13:03:04Z,8859502,387925,6.947409310517923,6.947409310517923,3075,FilmAnimation,58,6jbbCpJRdTs,2023-8-03T00:00:00Z,0.043786321172454165,0.00034708497159321143,767,1001+ Comments,> 2 years
"Exploding the British Ship | The Patriot (Mel Gibson, Jason Isaacs)",2023-06-27T00:00:33Z,1108797,26408,6.044852042226959,6.044852042226959,479,FilmAnimation,20,xlodhVbrQ48,2023-8-03T00:00:00Z,0.023816803256141567,0.000431999725828984,767,101-1000 Comments,> 2 years
How Hans Zimmer Wrote the Interstellar Theme,2023-06-26T20:00:14Z,1370987,62535,6.137033336733325,6.137033336733325,486,FilmAnimation,57,pVjqjHCS29U,2023-8-03T00:00:00Z,0.04561312397564674,0.0003544891381172834,768,101-1000 Comments,> 2 years
🧍‍♀️The AUTOWALK EXPERIENCED IN KING FAHD INTERNATIONAL AIRPORT #shorts,2023-06-26T09:32:18Z,579,10,2.762678563727436,2.762678563727436,0,FilmAnimation,36,w7LmcSN5tlg,2023-8-03T00:00:00Z,0.017271157167530225,0.0,768,No Comments,> 2 years
True and Bartleby Making a Dazzling Glittery Door! ✨🚪🌈 True and the Rainbow Kingdom 🌈,2023-06-25T15:00:46Z,465048,8744,5.6674977809744185,5.6674977809744185,0,FilmAnimation,30,zNvlPUGLEe8,2023-8-03T00:00:00Z,0.018802360186475374,0.0,769,No Comments,> 2 years
"🍰 ¿Quién viene a merendar? - Canciones infantiles, Caricaturas, Dibujos Animados - Pocoyó",2023-06-25T08:00:00Z,2693053,31581,6.43024490052664,6.43024490052664,0,FilmAnimation,9,-0shyIfKIrA,2023-8-03T00:00:00Z,0.011726839390089984,0.0,769,No Comments,> 2 years
🎞️Transformer Rise of the Beast #shorts,2023-06-24T07:11:14Z,619,18,2.791690649020118,2.791690649020118,0,FilmAnimation,12,MQc6Jv2x4fw,2023-8-03T00:00:00Z,0.029079159935379646,0.0,770,No Comments,> 2 years
