Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTV,Diff,CommentsGroup,DiffGroup
Sam Witwer Talks About The Obi-Wan Kenobi Show,2024-08-03T14:12:47Z,1137545,56393,6.05596858586992,6.05596858586992,1273,FilmAnimation,58,E-NFRqx0vnQ,2024-8-04T00:00:00Z,0.04957430255506375,0.0011190766079583665,365,1001+ Comments,<= 1 year
Patton Oswalt Predicited The Book Of Boba Fett's Opening Scene,2024-08-02T17:20:36Z,14264,885,4.154241330167298,4.154241330167298,29,FilmAnimation,35,la2TAAhkgEo,2024-8-04T00:00:00Z,0.0620443073471677,0.002033090297251823,366,11-100 Comments,<= 2 years
Agent Kallus Was Originally In The Chiss Ascendancy?,2024-08-02T00:00:10Z,6771,278,3.8306528137974243,3.8306528137974243,6,FilmAnimation,26,JP3f_BGZ4gI,2024-8-04T00:00:00Z,0.041057450893516464,0.0008861320336730173,366,1-10 Comments,<= 2 years
Sam Witwer On Becoming Starkiller In Star Wars,2024-08-01T17:03:00Z,565284,37216,5.7522666932081306,5.7522666932081306,202,FilmAnimation,58,SlR4wCpSi6g,2024-8-04T00:00:00Z,0.06583593379610957,0.0003573425039449197,367,101-1000 Comments,<= 2 years
me and Daniel during a 1V1,2024-07-31T19:14:08Z,9,0,0.9542425094393249,0.9542425094393249,0,FilmAnimation,11,-f5_a-RHFvY,2024-8-04T00:00:00Z,0.0,0.0,368,No Comments,<= 2 years
Harrison Ford On Flying The Millennium Falcon In Star Wars,2024-07-29T17:00:52Z,4193494,128033,6.622576025970682,6.622576025970682,1114,FilmAnimation,59,0WdmLf8HhdA,2024-8-04T00:00:00Z,0.030531342121867828,0.00026564959911710853,370,1001+ Comments,<= 2 years
George Lucas On How The Lightsaber Effect Was Created,2024-07-27T13:35:00Z,868585,23362,5.938812325056744,5.938812325056744,347,FilmAnimation,52,TmaQPcfeZWY,2024-8-04T00:00:00Z,0.02689661921400899,0.00039950033675460663,372,101-1000 Comments,<= 2 years
How The Mandalorians Costumes Were Designed For Mando S3,2024-07-26T03:00:41Z,11743,734,4.0697790608815145,4.0697790608815145,10,FilmAnimation,57,y61ttwloIsw,2024-8-04T00:00:00Z,0.06250532231967981,0.0008515711487694797,373,1-10 Comments,<= 2 years
How Emily Swallow BECAME The ARMOR for Mando Season 3,2024-07-26T00:00:19Z,1626965,55476,6.2113782102998805,6.2113782102998805,492,FilmAnimation,26,LtKKc6a05-4,2024-8-04T00:00:00Z,0.03409784476002864,0.0003024035550856964,373,101-1000 Comments,<= 2 years
Jon Favreau Talks About Bringing The Mythosaur Into Mando S3,2024-07-25T13:43:26Z,172313,9713,5.236318043642382,5.236318043642382,118,FilmAnimation,59,r7bhSwvR0xg,2024-8-04T00:00:00Z,0.056368352939128216,0.0006848003342754174,374,101-1000 Comments,<= 2 years
Katee Sackhoff Talks The Luke Skywalker Cameo In Mando S2,2024-07-25T00:00:35Z,5023,304,3.700963178159549,3.700963178159549,6,FilmAnimation,58,_tj5iwL7D2s,2024-8-04T00:00:00Z,0.06052160063706948,0.0011945052757316346,374,1-10 Comments,<= 2 years
A Stands For Arson 😳 (Animation Meme) #shorts,2024-07-23T19:00:11Z,7545443,412008,6.877684742694458,6.877684742694458,3321,FilmAnimation,19,OGRmBIOlEvc,2024-8-04T00:00:00Z,0.05460355342953356,0.00044013320357731147,376,1001+ Comments,<= 2 years
George Lucas Talks About The Original Idea For Star Wars,2024-07-23T18:00:07Z,1446853,75666,6.160424409120515,6.160424409120515,828,FilmAnimation,46,D37l-XVXoZk,2024-8-04T00:00:00Z,0.052296950692295625,0.0005722765201440644,376,101-1000 Comments,<= 2 years
George Lucas Talks About The Origins Of Darth Vader,2024-07-23T14:56:11Z,47879,3116,4.68014507116175,4.68014507116175,34,FilmAnimation,23,LkFrmjL6z2c,2024-8-04T00:00:00Z,0.06508072432590488,0.0007101234361619917,376,11-100 Comments,<= 2 years
Dave Filoni Talks The Maul VS Ahsoka Fight In Clone Wars,2024-07-22T16:00:03Z,14710,907,4.16761267272753,4.16761267272753,9,FilmAnimation,40,aI_--RMaapE,2024-8-04T00:00:00Z,0.061658735554044865,0.0006118286879673692,377,1-10 Comments,<= 2 years
Ray Park Talks Returning As Maul In The Clone Wars Season 7,2024-07-22T13:47:00Z,32166,2411,4.507397057608951,4.507397057608951,18,FilmAnimation,53,1P89DHqCjJI,2024-8-04T00:00:00Z,0.07495492134552012,0.0005595970900951316,377,11-100 Comments,<= 2 years
Dave Filoni Talks About The Siege Of Mandalore In Clone Wars,2024-07-22T00:00:08Z,25674,2030,4.4094935368675765,4.4094935368675765,16,FilmAnimation,32,Ld1mL2e1R2c,2024-8-04T00:00:00Z,0.07906831814286827,0.0006231985666432967,377,11-100 Comments,<= 2 years
MÁQUINA LASER CO2 COM DUAS CABEÇAS DE CORTE. MONTE A SUA!,2024-07-20T23:43:54Z,102,0,2.0086001717619175,2.0086001717619175,0,FilmAnimation,72,rh9pUpDgTYg,2024-8-04T00:00:00Z,0.0,0.0,379,No Comments,<= 2 years
Mark Hamill Talks About Being a Farm Boy In Star Wars,2024-07-20T22:00:16Z,18939,1242,4.277357044047016,4.277357044047016,19,FilmAnimation,32,UvxqCPCnj-o,2024-8-04T00:00:00Z,0.06557896404245209,0.0010032208669940334,379,11-100 Comments,<= 2 years
How Marvel Used To Write Humor,2024-07-20T14:30:09Z,342407,15912,5.534542634598277,5.534542634598277,716,FilmAnimation,639,CLtzxLKslnA,2024-8-04T00:00:00Z,0.04647101256691598,0.002091078745469573,379,101-1000 Comments,<= 2 years
Mark Hamill Talks About The Skywalker Lineage In Star Wars,2024-07-20T13:34:37Z,10874377,342219,7.036404385331272,7.036404385331272,2058,FilmAnimation,27,7t_PzZFQKuE,2024-8-04T00:00:00Z,0.03147021663861755,0.00018925222106976796,379,1001+ Comments,<= 2 years
My Honest Thoughts On Star Wars: The Acolyte - Cantina Talk,2024-07-20T06:06:37Z,208,15,2.3180633349627615,2.3180633349627615,5,FilmAnimation,1881,3aOWKpBI1C4,2024-8-04T00:00:00Z,0.07211538461538461,0.02403846153846154,379,1-10 Comments,<= 2 years
"The Acolyte Episode 8, Darth Plagueis! - Cantina Jargon #033",2024-07-18T14:36:58Z,267,11,2.4265112613645754,2.4265112613645754,3,FilmAnimation,3155,326uIyHVkh0,2024-8-04T00:00:00Z,0.04119850187265917,0.011235955056179775,381,1-10 Comments,<= 2 years
