Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTV,Diff,CommentsGroup,DiffGroup
quando você leva de lanche sempre a mesma coisa,2023-08-04T23:14:48Z,167,8,2.2227164711475833,2.2227164711475833,0,FilmAnimation,29,gzA7RrX6GPc,2023-8-08T00:00:00Z,0.04790419161676647,0.0,734,No Comments,> 2 years
How to choose the right type of lavender,2023-08-04T04:51:33Z,6411,97,3.8069257768837317,3.8069257768837317,0,FilmAnimation,19,zJX4KaVFtHM,2023-8-08T00:00:00Z,0.015130244891592575,0.0,734,No Comments,> 2 years
The fastest way to heal bug bites,2023-08-03T03:07:18Z,1497,18,3.1752218003430523,3.1752218003430523,0,FilmAnimation,12,nvSG0N0vbHo,2023-8-08T00:00:00Z,0.012024048096192385,0.0,735,No Comments,> 2 years
Is Spanish Lavender edible?,2023-08-02T20:50:17Z,4087,74,3.6114046377115936,3.6114046377115936,0,FilmAnimation,13,czU1MEYcadU,2023-8-08T00:00:00Z,0.018106190359677025,0.0,736,No Comments,> 2 years
Never plant anything too close to a fence.  #backyardgardening,2023-08-02T00:06:48Z,2816,67,3.4496326504700745,3.4496326504700745,1,FilmAnimation,18,pfz3yoROPjw,2023-8-08T00:00:00Z,0.023792613636363636,0.0003551136363636364,736,1-10 Comments,> 2 years
Army Men | Revenge Of The Gray | Part 2 | A Toy Army Men Stop Motion,2023-07-31T04:29:26Z,1810,49,3.2576785748691846,3.2576785748691846,22,FilmAnimation,482,oKr_c8yah_I,2023-8-08T00:00:00Z,0.02707182320441989,0.012154696132596685,738,11-100 Comments,> 2 years
R.I.P. The Wonderful World of Mickey Mouse 2020-2023 as a reboot & original Mickey Mouse Shorts 😱,2023-07-30T23:43:54Z,146,7,2.164352855784437,2.164352855784437,15,FilmAnimation,39,_Z1d03hF0rU,2023-8-08T00:00:00Z,0.04794520547945205,0.10273972602739725,739,11-100 Comments,> 2 years
All the old ladies on Facebook are talking about this ant bait.  #gardening #pests #ants,2023-07-26T18:05:16Z,6235,83,3.7948364578145615,3.7948364578145615,2,FilmAnimation,12,tIqQUL5g-OY,2023-8-08T00:00:00Z,0.013311948676824378,0.00032076984763432237,743,1-10 Comments,> 2 years
a barata🪳,2023-07-26T13:12:23Z,107,6,2.0293837776852097,2.0293837776852097,0,FilmAnimation,40,EMbNaVdhuVo,2023-8-08T00:00:00Z,0.056074766355140186,0.0,743,No Comments,> 2 years
My new ASUS computer/laptop will not be working for a while cause of overcharging it 😱🌄,2023-07-25T13:45:49Z,78,4,1.8920946026904804,1.8920946026904804,1,FilmAnimation,41,t0e9MXtAJng,2023-8-08T00:00:00Z,0.05128205128205128,0.01282051282051282,744,1-10 Comments,> 2 years
The mask.. take it off Mr. Beast Version,2023-07-19T16:00:44Z,305,20,2.484299839346786,2.484299839346786,3,FilmAnimation,15,iYPyVWFbY5M,2023-8-08T00:00:00Z,0.06557377049180328,0.009836065573770493,750,1-10 Comments,> 2 years
"Grow chives easily, year round. #herbs #growyourownfood",2023-07-13T21:32:18Z,56813,861,4.754447722722881,4.754447722722881,19,FilmAnimation,26,AUSFnDQPTSY,2023-8-08T00:00:00Z,0.015154982134370654,0.0003344305000616056,756,11-100 Comments,> 2 years
Grow Bay Laurel for your kitchen garden. #permaculture #foodforest,2023-07-13T00:36:04Z,20661,314,4.315151337704982,4.315151337704982,10,FilmAnimation,25,Ll902vMW3-Q,2023-8-08T00:00:00Z,0.01519771550263782,0.00048400367842795606,756,1-10 Comments,> 2 years
In a world called Inamorta...,2023-07-10T04:01:59Z,25196,718,4.401331599677835,4.401331599677835,98,FilmAnimation,128,GESuGPSU0nY,2023-8-08T00:00:00Z,0.028496586759803145,0.003889506270836641,759,11-100 Comments,> 2 years
The most productive fruit tree you can find,2023-07-09T22:56:06Z,3568,126,3.5524248457040857,3.5524248457040857,4,FilmAnimation,10,9W4k6g-R5UA,2023-8-08T00:00:00Z,0.03531390134529148,0.0011210762331838565,760,1-10 Comments,> 2 years
Sesame para todas a crianças de 0 a 100 aninhos,2023-07-09T16:09:38Z,2045,33,3.3106933123433606,3.3106933123433606,0,FilmAnimation,61,63EVfmYY36A,2023-8-08T00:00:00Z,0.01613691931540342,0.0,760,No Comments,> 2 years
Buying The Grimace Shake In 360/VR,2023-07-06T22:07:33Z,16609532,60716,7.220357395685534,7.220357395685534,504,FilmAnimation,50,2Fg2VixO8Q4,2023-8-08T00:00:00Z,0.00365549131667286,3.034402173402598e-05,763,101-1000 Comments,> 2 years
VR 360 Find HIdden Peanut Butter Jelly Time,2023-06-30T12:15:00Z,12143001,11893,7.084326030781833,7.084326030781833,116,FilmAnimation,135,CP0DKalwo7k,2023-8-08T00:00:00Z,0.000979411926261062,9.5528280035553e-06,769,101-1000 Comments,> 2 years
And Just Like That | A pull from the Carrie archives. #shorts #viralshorts #shortsfeed,2023-06-28T01:00:19Z,1085681,24309,6.0357022375079215,6.0357022375079215,886,FilmAnimation,52,rDenSw56Xu4,2023-8-08T00:00:00Z,0.022390554868326883,0.0008160776508016627,771,101-1000 Comments,> 2 years
Deku Meets the NEW Class 1-A Students | My Hero Academia Year 2 Lightning & Thunder Combo Explained,2023-06-27T13:56:28Z,974579,89297,5.988817049070334,5.988817049070334,852,FilmAnimation,56,6RB4XxXrNgI,2023-8-08T00:00:00Z,0.09162623040307662,0.0008742236391303321,772,101-1000 Comments,> 2 years
#MSA the next time you meet a PRINCE… #shorts #MSAshorts,2023-06-27T13:03:04Z,8876469,388237,6.948240240690543,6.948240240690543,3084,FilmAnimation,58,6jbbCpJRdTs,2023-8-08T00:00:00Z,0.04373777455878007,0.0003474354498393449,772,1001+ Comments,> 2 years
"Exploding the British Ship | The Patriot (Mel Gibson, Jason Isaacs)",2023-06-27T00:00:33Z,1124184,26599,6.050837399884904,6.050837399884904,484,FilmAnimation,20,xlodhVbrQ48,2023-8-08T00:00:00Z,0.02366071746262178,0.00043053450324857855,772,101-1000 Comments,> 2 years
How Hans Zimmer Wrote the Interstellar Theme,2023-06-26T20:00:14Z,1376351,62683,6.13872920273964,6.13872920273964,487,FilmAnimation,57,pVjqjHCS29U,2023-8-08T00:00:00Z,0.04554288840564653,0.0003538341600362117,773,101-1000 Comments,> 2 years
Cuties Exposes a Huge Problem w/ the Rotten Tomatoes System! ...but not the one you think!,2023-06-26T15:00:21Z,889036,52365,5.948919347342312,5.948919347342312,824,FilmAnimation,59,cfCP5oo_61M,2023-8-08T00:00:00Z,0.058900876904872244,0.0009268466068865603,773,101-1000 Comments,> 2 years
The Best Fight in Demon Slayer Continues | Gyomei vs Kokushibou Demon Slayer Manga Explained PT 2,2023-06-25T17:27:07Z,1551859,138342,6.190852259252224,6.190852259252224,745,FilmAnimation,58,_rFimMq84ac,2023-8-08T00:00:00Z,0.0891459855566775,0.0004800693877472116,774,101-1000 Comments,> 2 years
True and Bartleby Making a Dazzling Glittery Door! ✨🚪🌈 True and the Rainbow Kingdom 🌈,2023-06-25T15:00:46Z,465817,8747,5.668215334073006,5.668215334073006,0,FilmAnimation,30,zNvlPUGLEe8,2023-8-08T00:00:00Z,0.018777760365121927,0.0,774,No Comments,> 2 years
"🍰 ¿Quién viene a merendar? - Canciones infantiles, Caricaturas, Dibujos Animados - Pocoyó",2023-06-25T08:00:00Z,2786823,32237,6.445109386164191,6.445109386164191,0,FilmAnimation,9,-0shyIfKIrA,2023-8-08T00:00:00Z,0.011567652484567552,0.0,774,No Comments,> 2 years
Ribbit! Donald becomes a frog and Princess Daisy must break the spell! shorts mickeymouseclubhouse,2023-06-23T11:45:01Z,1993233,40904,6.2995580687454895,6.2995580687454895,0,FilmAnimation,58,Bs1wZ9vjrM8,2023-8-08T00:00:00Z,0.02052143427286223,0.0,776,No Comments,> 2 years
The Yule Ball ends in disaster #HarryPotter #HermioneGranger #RonWeasley,2023-06-22T19:00:23Z,11783401,606358,7.071270657374407,7.071270657374407,3131,FilmAnimation,42,FFpkSFR6Lj0,2023-8-08T00:00:00Z,0.05145865781874011,0.0002657127598390312,777,1001+ Comments,> 2 years
they kinda had a point... 😈 | Avatar #Shorts,2023-06-22T13:59:50Z,222584,18951,5.347493942741495,5.347493942741495,387,FilmAnimation,44,iNIOx-ba8ww,2023-8-08T00:00:00Z,0.08514089063005427,0.0017386694461416813,777,101-1000 Comments,> 2 years
Unmasking The Joker: Jared Leto's Method Acting Unleashed #joker #dc #shorts,2023-06-22T11:00:32Z,14308608,670306,7.155597385868524,7.155597385868524,4194,FilmAnimation,49,YMsoK3TgrkM,2023-8-08T00:00:00Z,0.04684634591988263,0.0002931102732005797,777,1001+ Comments,> 2 years
LEGO just FIXED the UCS X-Wing 🥳,2023-06-21T21:07:43Z,707312,37749,5.849611026228318,5.849611026228318,167,FilmAnimation,51,_iogwUBRaWg,2023-8-08T00:00:00Z,0.05336965865134481,0.00023610514171963715,778,101-1000 Comments,> 2 years
Making of Thanos: Behind the Scenes of Marvel's Visual Effects Spectacle #short #thanos #avengers,2023-06-20T14:47:44Z,4717066,234351,6.6736719528272745,6.6736719528272745,350,FilmAnimation,51,F0_swH0l6P8,2023-8-08T00:00:00Z,0.0496815181301258,7.4198665017619e-05,779,101-1000 Comments,> 2 years
"🕺 ¡A mover el esqueleto! - Canciones infantiles, Caricaturas, Dibujos Animados - Pocoyó #shorts",2023-06-18T08:00:22Z,879660,12120,5.944314844131478,5.944314844131478,0,FilmAnimation,32,yzCo-zjUDMs,2023-8-08T00:00:00Z,0.013778050610463133,0.0,781,No Comments,> 2 years
Here’s a sneak peek at Disney Junior's Wonderful World of Songs 🥁  #Shorts,2023-06-17T16:45:02Z,725656,12915,5.860730790524665,5.860730790524665,0,FilmAnimation,35,y62W6yZjR9I,2023-8-08T00:00:00Z,0.017797689263232164,0.0,782,No Comments,> 2 years
A Lion Cub Wakes Up His Dad | Happy Father's Day | Wild Kratts,2023-06-17T08:00:19Z,171966,4496,5.23544258951215,5.23544258951215,0,FilmAnimation,41,Qea55JcJnYM,2023-8-08T00:00:00Z,0.026144703022690532,0.0,782,No Comments,> 2 years
A Private Luxury Pool 24/7 With Relaxing Water Feature | 4K,2023-06-16T17:15:50Z,358778,3719,5.554825804574026,5.554825804574026,0,FilmAnimation,0,n0FD6UwHsSI,2023-8-08T00:00:00Z,0.010365741489166002,0.0,783,No Comments,> 2 years
The Dark Knight | Batman's (Christian Bale) Batpod,2023-06-16T13:16:30Z,470752,26958,5.672792173802072,5.672792173802072,157,FilmAnimation,60,Azs3oikiDss,2023-8-08T00:00:00Z,0.057265821494120045,0.0003335089388892665,783,101-1000 Comments,> 2 years
How to Build a Floating Bed on a Budget!,2023-06-14T21:47:03Z,219987,8138,5.3423970172082065,5.3423970172082065,40,FilmAnimation,31,2nqFfUlxGDE,2023-8-08T00:00:00Z,0.036993095046525475,0.00018182892625473324,785,11-100 Comments,> 2 years
Miles Accidentally Creates The Spot | Spider-Man Across the Spider-Verse Bagel Guy Explained,2023-06-14T10:30:14Z,3119914,213957,6.494142622915813,6.494142622915813,1177,FilmAnimation,56,ze8EEIcAcFU,2023-8-08T00:00:00Z,0.06857785182540288,0.000377253988411219,785,1001+ Comments,> 2 years
George Grows A Dinosaur! #shorts #peppapig,2023-06-13T11:00:46Z,2321809,52002,6.365826490313047,6.365826490313047,0,FilmAnimation,26,ziLvI_VhD_g,2023-8-08T00:00:00Z,0.02239719115568938,0.0,786,No Comments,> 2 years
We Built A Camera Equipment Vending Machine #shorts,2023-06-12T15:00:14Z,523405,19841,5.718837867065875,5.718837867065875,45,FilmAnimation,19,KdhRcNOiUd4,2023-8-08T00:00:00Z,0.03790754769251344,8.597548743324958e-05,787,11-100 Comments,> 2 years
"They've got a job to do! Check out Disney Junior's new show, Pupstruction! Shorts Pupstruction",2023-06-11T16:45:00Z,533969,8826,5.727516044444778,5.727516044444778,0,FilmAnimation,46,89p972gzqR0,2023-8-08T00:00:00Z,0.016529049439199653,0.0,788,No Comments,> 2 years
Daniel y sus amigos extrañan a sus padres | Daniel Tigre en Español,2023-06-11T13:00:37Z,570327,17161,5.756123932120694,5.756123932120694,0,FilmAnimation,54,n5N8qFD_3ok,2023-8-08T00:00:00Z,0.03008975552621566,0.0,788,No Comments,> 2 years
Do NOT give Cricket Green a rocket!!! BigCityGreens HowNotToDraw Shorts,2023-06-10T16:45:04Z,5558719,144704,6.744974720479662,6.744974720479662,0,FilmAnimation,61,xXBh_4jdogA,2023-8-08T00:00:00Z,0.026031896917257377,0.0,789,No Comments,> 2 years
I Built A Hospital For A Ant,2023-06-09T22:00:21Z,19342811,392835,7.286519588313562,7.286519588313562,1107,FilmAnimation,46,VA-WqJb-Aj4,2023-8-08T00:00:00Z,0.02030909571519879,5.723056488532096e-05,790,1001+ Comments,> 2 years
"Домик на воде , в Дагестане 😅 видели такой ?",2023-08-04T14:23:49Z,44150,1458,4.644930707913588,4.644930707913588,27,AutosVehicles,12,MdMZlfR-VfY,2023-8-08T00:00:00Z,0.0330237825594564,0.0006115515288788222,734,11-100 Comments,> 2 years
Самый заразительный смех 🤣 кто следующий ?,2023-07-31T16:34:47Z,75919,2657,4.880350478958987,4.880350478958987,28,AutosVehicles,14,Jc2OCCzyyIM,2023-8-08T00:00:00Z,0.03499782663101463,0.00036881413084998484,738,11-100 Comments,> 2 years
