Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTV,Diff,CommentsGroup,DiffGroup
A New Powerpuff Girl?! 🐿️💥 | Mega Compilation | Cartoon Network,2025-08-07T23:00:00Z,19013,271,4.279050648199026,4.279050648199026,0,FilmAnimation,7262,aEvHJ4rPY0s,2025-8-08T00:00:00Z,0.014253405564613686,0.0,1,No Comments,<= 1 week
Beware the Doll | Rag Doll | Full Horror Movie | Free Movie,2025-08-07T22:38:00Z,36736,245,4.56509186638186,4.56509186638186,8,FilmAnimation,4538,GQQZkvwj6V4,2025-8-08T00:00:00Z,0.006669207317073171,0.00021777003484320557,1,1-10 Comments,<= 1 week
"INLOVE WITH A VIRGIN BOY--UCHE MONTANA, PETER KOMBA - Latest Nigerian Movie 2025 #trending #Movies",2025-08-07T22:30:02Z,58073,516,4.7639742618830265,4.7639742618830265,17,FilmAnimation,7599,-lQfQixoVkM,2025-8-08T00:00:00Z,0.00888536841561483,0.00029273500594079866,1,11-100 Comments,<= 1 week
Scary Couple 2025 | A Thriller Movies 2025 New Releases | Based On True Story 2025,2025-08-07T22:21:06Z,28645,189,4.457048826585631,4.457048826585631,15,FilmAnimation,6471,tJOWU-3j55s,2025-8-08T00:00:00Z,0.006598010123930878,0.0005236515971373713,1,11-100 Comments,<= 1 week
TODO el MUNDO Ama a un HÉROE ... #mrrelevante #spiderman #edit,2025-08-07T22:15:30Z,199692,11851,5.300360666646123,5.300360666646123,193,FilmAnimation,34,4V0ffm90ibg,2025-8-08T00:00:00Z,0.0593463934459067,0.0009664883921238707,1,101-1000 Comments,<= 1 week
Why Being a Mandalorian Was TERRIBLE,2025-08-07T21:00:39Z,240437,12168,5.381001300516119,5.381001300516119,163,FilmAnimation,40,UzDGrtAC0t4,2025-8-08T00:00:00Z,0.050607851536993056,0.000677932265000811,1,101-1000 Comments,<= 1 week
FORÇADA A SE DESPIR PARA SOBREVIVER 💔  MELHORES DRAMAS | MELODRAMAS 2025,2025-08-07T21:00:06Z,11016,129,4.042023927248867,4.042023927248867,4,FilmAnimation,10797,tLIrJ2XgwWY,2025-8-08T00:00:00Z,0.011710239651416121,0.00036310820624546115,1,1-10 Comments,<= 1 week
DIÁRIO DO DIA | ARRUMANDO A CASA 🏠 ROMEU E JULIETA 🥰 UMA DELICIA QUE SURPREENDER VOCÊ ,2025-08-07T20:52:24Z,18823,2551,4.274688842237558,4.274688842237558,120,FilmAnimation,1224,zztjWCkN7Mo,2025-8-08T00:00:00Z,0.1355256866599373,0.0063751793019178665,1,101-1000 Comments,<= 1 week
🍚(1-6) SU TÍO ELIMINÓ A SUS PADRES PARA QUEDARSE CON SU FORTUNA | Tsuihousha Shokudou e Youkoso!,2025-08-07T20:05:48Z,16472,1064,4.216746333609975,4.216746333609975,57,FilmAnimation,1453,ws0wsz6lFGk,2025-8-08T00:00:00Z,0.06459446333171442,0.0034604176784847015,1,11-100 Comments,<= 1 week
Familia Wolfoo Español | ¿PUEDO IR SOLO A LA ESCUELA? 🚌 - PRIMER DÍA DE ESCUELA - Dibujos Animados,2025-08-07T20:00:24Z,154026,550,5.187594037092599,5.187594037092599,0,FilmAnimation,1828,g9My3GWUkYY,2025-8-08T00:00:00Z,0.003570825704751146,0.0,1,No Comments,<= 1 week
"Peça Perdão a Deus, Nunca a Mim | Filme de Faroeste | Dublado",2025-08-07T20:00:44Z,13631,218,4.134527717797338,4.134527717797338,3,FilmAnimation,5343,tZcLt7x_JJo,2025-8-08T00:00:00Z,0.01599295722984374,0.00022008656738317073,1,1-10 Comments,<= 1 week
A story that will make you believe in true love | Crazylove | Full Movie,2025-08-07T19:59:15Z,11472,72,4.059639138323725,4.059639138323725,4,FilmAnimation,5917,_36yZDfG1sQ,2025-8-08T00:00:00Z,0.006276150627615063,0.0003486750348675035,1,1-10 Comments,<= 1 week
Bir Tatlı Yaptı Zengin Oldu | Gir Dünyama 18. Bölüm,2025-08-07T19:30:00Z,52146,398,4.717221000307068,4.717221000307068,12,FilmAnimation,504,-xKP0_wBKxw,2025-8-08T00:00:00Z,0.0076324166762551295,0.00023012311586698885,1,11-100 Comments,<= 1 week
"🌪️ BORN Alone, Crowned as a KING 👑""",2025-08-07T19:18:00Z,13881,259,4.142420754219559,4.142420754219559,0,FilmAnimation,55,wWTw35oZwNM,2025-8-08T00:00:00Z,0.018658598083711547,0.0,1,No Comments,<= 1 week
Kazuki Tries Being Femme | Dealing with Mikadono Sisters Is a Breeze,2025-08-07T19:00:38Z,90973,2787,4.958912516596701,4.958912516596701,117,FilmAnimation,176,bAGUHw5UfIs,2025-8-08T00:00:00Z,0.030635463269321667,0.001286095874600156,1,101-1000 Comments,<= 1 week
A Film that Will Move You to Tears / A runaway prince falls in love with a village girl / Full HD,2025-08-07T18:58:25Z,17218,136,4.235982703481839,4.235982703481839,7,FilmAnimation,5893,yxdBqBmpxPM,2025-8-08T00:00:00Z,0.00789871065164363,0.00040655128354048087,1,1-10 Comments,<= 1 week
Unos Niños Le Buscan Novio A Su Madre Soltera | @DramatizeMeEspanol,2025-08-07T19:00:15Z,7051,168,3.8482507146770426,3.8482507146770426,15,FilmAnimation,762,9Dubp6fq_-Q,2025-8-08T00:00:00Z,0.023826407601758616,0.0021273578215855907,1,11-100 Comments,<= 1 week
¡Fue vendida a un CEO despiadado para pagar una deuda… y terminó siendo su adoración!,2025-08-07T18:54:00Z,200860,5756,5.302893458356505,5.302893458356505,163,FilmAnimation,7286,aNnucINvuyk,2025-8-08T00:00:00Z,0.028656775863785722,0.0008115105048292343,1,101-1000 Comments,<= 1 week
Did Arthur Morgan Always Think Of John As A Brother?,2025-08-07T18:49:50Z,155002,11559,5.190337301933905,5.190337301933905,136,FilmAnimation,57,n_kRXkVzQj4,2025-8-08T00:00:00Z,0.07457323131314435,0.0008774080334447297,1,101-1000 Comments,<= 1 week
360° ROBLOX Grow A Garden 🌱: Attack of the Giant Worm VR,2025-08-07T18:38:16Z,5417,59,3.733758835587203,3.733758835587203,7,FilmAnimation,208,jdPWN1zqkL0,2025-8-08T00:00:00Z,0.010891637437696142,0.0012922281705741185,1,1-10 Comments,<= 1 week
A son becomes the best gunman to avenge his parents | Best Action Movie,2025-08-07T18:00:26Z,173691,843,5.239777315559356,5.239777315559356,17,FilmAnimation,4691,5G_1pfNeQIE,2025-8-08T00:00:00Z,0.00485344663799506,9.787496185755163e-05,1,11-100 Comments,<= 1 week
A must-watch for fans of science fiction! | ALIEN SNIPERESS | Watch online,2025-08-07T18:00:15Z,8498,81,3.9293167267534956,3.9293167267534956,3,FilmAnimation,5693,E2NwBlRGzAA,2025-8-08T00:00:00Z,0.00953165450694281,0.0003530242409978819,1,1-10 Comments,<= 1 week
"Egy PARAZITÁT ültet a testébe, hogy modell lehessen, de nem lesz jó vége...",2025-08-07T17:53:48Z,20270,587,4.306853748693008,4.306853748693008,18,FilmAnimation,608,dLzqbSd2sCo,2025-8-08T00:00:00Z,0.028959052787370498,0.0008880118401578688,1,11-100 Comments,<= 1 week
