Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTV,Diff,CommentsGroup,DiffGroup
Defensa a @kontonideka|la patetica respuesta de @rankirojd2736,2025-07-08T22:57:34Z,233,11,2.367355921026019,2.367355921026019,10,FilmAnimation,379,b2nhSA5Npsk,2025-7-09T00:00:00Z,0.04721030042918455,0.04291845493562232,31,1-10 Comments,<= 1 month
Can Music Change a Story on Camp Musicbed Tube Talk,2025-07-08T20:07:01Z,153,3,2.184691430817599,2.184691430817599,0,FilmAnimation,256,Y_fPs9ENxC0,2025-7-09T00:00:00Z,0.0196078431372549,0.0,31,No Comments,<= 1 month
I have a wife...but💔🐱 #cat #funny #cute #catvideos #codedcatclub,2025-07-08T18:04:38Z,181252,1735,5.258282807431565,5.258282807431565,9,FilmAnimation,55,ZvWJGoJJlj0,2025-7-09T00:00:00Z,0.009572308167634012,4.9654624500695164e-05,31,1-10 Comments,<= 1 month
The Aura of letter A 🗿 #anime,2025-07-08T16:37:31Z,45847,941,4.661310922861615,4.661310922861615,89,FilmAnimation,17,OuMlAGPTvz4,2025-7-09T00:00:00Z,0.020524788972015616,0.001941239339542391,31,11-100 Comments,<= 1 month
The farmer eats all omlette and cow brings a truck full of jalaibie #ai #farmer #cow #jalaibi,2025-07-08T16:02:41Z,5125,57,3.7096938697277917,3.7096938697277917,0,FilmAnimation,17,6vTASuyOLzw,2025-7-09T00:00:00Z,0.011121951219512195,0.0,31,No Comments,<= 1 month
【DUB】De Mecánico a Campeón: La Increíble Resurrección de An Wen Yi en el Mundo del Automovilismo,2025-07-08T16:00:18Z,260463,4000,5.4157460384335945,5.4157460384335945,39,FilmAnimation,6088,B234J22NCd8,2025-7-09T00:00:00Z,0.015357267634942391,0.00014973335944068832,31,11-100 Comments,<= 1 month
She fell in love with a sandwich 😂😎,2025-07-08T15:45:06Z,52150495,1419360,7.717258435001251,7.717258435001251,2437,FilmAnimation,59,pA4iKBtb7nQ,2025-7-09T00:00:00Z,0.02721661606471808,4.67301412958784e-05,31,1001+ Comments,<= 1 month
EV Range Was NEVER a Problem… Until the Heat Hit!,2025-07-08T23:01:06Z,622,26,2.7937903846908188,2.7937903846908188,13,AutosVehicles,219,YFfGoCaphmY,2025-7-09T00:00:00Z,0.04180064308681672,0.02090032154340836,31,11-100 Comments,<= 1 month
Part 1 I Unlocking the Secrets of Flight: A Deep Dive into Airplane Mechanics,2025-07-08T21:00:30Z,6921,78,3.8401688492407557,3.8401688492407557,1,AutosVehicles,30,TzGSe2uzMWM,2025-7-09T00:00:00Z,0.011270047680970958,0.00014448779078167894,31,1-10 Comments,<= 1 month
Where the Pavement Ends… The BADGER Takes Over,2025-07-08T19:39:19Z,19,0,1.2787536009528289,1.2787536009528289,0,AutosVehicles,11,CtCxcyUqc4E,2025-7-09T00:00:00Z,0.0,0.0,31,No Comments,<= 1 month
Top Full Time Fifth Wheel On The Market | 2026 Alliance Paradigm 382RK | RV Walkthrough,2025-07-08T17:00:04Z,708,13,2.850033257689769,2.850033257689769,0,AutosVehicles,437,3drOtCiQuZo,2025-7-09T00:00:00Z,0.018361581920903956,0.0,31,No Comments,<= 1 month
🔴Mr. DiGG & Coco LIVE at the LANDFILL #TrashyTuesday,2025-07-08T16:35:54Z,9942,1151,3.9974737588029803,3.9974737588029803,299,AutosVehicles,1870,85sskcTOjJU,2025-7-09T00:00:00Z,0.11577147455240394,0.030074431703882517,31,101-1000 Comments,<= 1 month
