Title,Date,Views,Likes,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff
A Key to Receiving Miracles,2021-07-02T08:14:46Z,225195,19701,543,FilmAnimation,0:00:30,o7jGxe15Ugw,2021-07-03T00:00:00Z,0.0874841803770066,0.02756205268768083,1461
Demons Cast Out on IG Live (From LA to the UK),2021-07-02T07:49:11Z,924497,51734,1927,FilmAnimation,0:01:00,qdy0ZmrJi20,2021-07-03T00:00:00Z,0.05595907828797714,0.03724823133722503,1461
This is not a rickroll ;),2021-07-02T02:42:53Z,1017773,47962,1356,FilmAnimation,0:00:18,C_rf1OFyjTM,2021-07-03T00:00:00Z,0.04712445702528953,0.02827238230265627,1461
Best FEATURE in a KIA SORENTO #shorts,2021-07-01T17:30:04Z,48249,452,34,AutosVehicles,0:00:27,wIBllQqKxDo,2021-07-03T00:00:00Z,0.009368069804555535,0.0752212389380531,1462
Volkswagen Atlas Cross Sport -- A BARGAIN (Half-Price) Audi Q8?? #shorts,2021-07-01T16:00:22Z,53278,1520,39,AutosVehicles,0:00:57,PYAKgiRD3K0,2021-07-03T00:00:00Z,0.028529599459439167,0.025657894736842105,1462
Tesla Model Y Horn Fart - Boombox does to sound like a fart!!!,2021-07-01T00:46:20Z,71774,662,8,AutosVehicles,0:00:12,EZXebCy7izU,2021-07-03T00:00:00Z,0.009223395658595035,0.012084592145015106,1462
Kevin kaarl - Es que yo te quiero a ti [Lyric],2021-07-02T23:04:59Z,524471,46002,231,Music,0:00:48,qLspDYR97b0,2021-07-03T00:00:00Z,0.08771123665560154,0.005021520803443328,1461
When the neighborhood bum gets a job,2021-07-02T19:57:58Z,5674482,464155,1138,Music,0:00:55,vkBvV_qhjAc,2021-07-03T00:00:00Z,0.08179689353142719,0.002451767189839601,1461
What Elvis Thought of The Beatles,2021-07-02T19:28:16Z,345736,15106,689,Music,0:00:56,UwROfV2rTiM,2021-07-03T00:00:00Z,0.04369229701274961,0.04561101549053356,1461
I regretted eating a salmon lunch in front of an otter. #Shorts,2021-07-02T11:00:05Z,1097966,52905,574,PetsAnimals,0:00:20,CBITEanRnak,2021-07-03T00:00:00Z,0.048184552162817425,0.010849636140251395,1461
