Title,Date,Views,Likes,Comments,Video_ID,Category,LTV,CTL,Diff
🚨😱MASSIVE NEWS! CHIEFS FANS ARE SPEECHLESS! WHAT A SURPRISE! KANSAS CITY CHIEFS NEWS TODAY!,2025-05-15T21:16:00Z,225,12,3,p8ibJVT_3kg,PeopleBlogs,5.333333333,25,34
⁠From Mushin to the World 🌍 | Day in My Life as a Content Creator,2025-05-15T20:00:02Z,68,13,15,-IBWe8U4moQ,PeopleBlogs,19.11764706,115.3846154,34
BEAUTY SITH A BOUNCE🔥 Full beat on channel #shorts #nycdrill #typebeat,2025-05-15T18:19:11Z,5,0,0,X-Q9l0jR5V4,PeopleBlogs,0,#DIV/0!,34
DICIÉNDOLE QUE SI A DANI A TODO😱,2025-05-15T18:17:24Z,1903091,24014,0,jB-Mch4Gryg,PeopleBlogs,1.261841919,0,34
PASSEI 100 DIAS NO GROW A GARDEN,2025-05-15T18:03:43Z,526185,7451,247,4zM9_3BvtOo,PeopleBlogs,1.416041886,3.314991276,34
Make These Savory Stuffed Peppers—A Flavor Surprise You’ve Never Tried!,2025-05-15T17:34:04Z,11834,131,8,vRkn5CdGecM,PeopleBlogs,1.106979888,6.106870229,34
$500 Toddler’s Shopping Spree,2025-05-15T17:17:07Z,780234,16433,887,OzkfN0O_sQE,PeopleBlogs,2.106163023,5.397675409,34
A lista dos melhores investimentos para jul/2025,2025-05-15T16:12:12Z,0,89,0,REPrWP7Csl0,PeopleBlogs,#DIV/0!,0,34
The Forbidden Gospel of Mary Magdalene | What Are They Trying to Hide from Us?,2025-05-15T15:02:30Z,14791,656,79,mq2va5B2kL8,PeopleBlogs,4.435129471,12.04268293,34
A Samsung refrigerator 😭 #letmeknowsong #funny #memes #refrigerator,2025-05-15T14:53:36Z,224,14,2,zRvWYBj9tNA,PeopleBlogs,6.25,14.28571429,34
"Mi viaje de vuelta a Colombia | Fresh Dates, conexión, tribu y expansión · Vlog 04",2025-05-15T14:00:57Z,158,4,1,W9pIJxYI4Z8,PeopleBlogs,2.53164557,25,34
HELP ONE’S MOTHER WITH A CARDBOARD！#asmr,2025-05-15T12:32:04Z,71210496,987421,1332,UGQ5AlPKVFg,PeopleBlogs,1.386622837,0.1348968677,34
How to Hold a Handstand 💪 #shorts #yoga #strength #fitness,2025-05-15T11:09:17Z,1770804,13606,162,eVWMHXB7RPA,PeopleBlogs,0.768351551,1.190651183,34
"A Páo Hát Dân Ca Trong Bar Cực Đỉnh - Lk Tìm Em Câu Ví Sông Lam, Em Làm Dâu Xứ Nghệ",2025-05-15T03:00:35Z,106409,513,32,Twkd0iBx9vw,PeopleBlogs,0.4821020778,6.237816764,34
SUS AMIGAS la TRAICIONARON!? VALERIA MÁRQUEZ PRESENTÍA el ATAQUE! LA OBLIGARON a QUEDARSE en VIVO!,2025-05-15T01:00:19Z,275473,5035,507,8GN8tHfS2YE,PeopleBlogs,1.827765335,10.06951341,34
A solas con Dios con William Arana l Caminando con Dios en el desierto l 14 de Mayo 2025,2025-05-15T00:58:24Z,219461,16874,1288,od0xJ4tRbGo,PeopleBlogs,7.688837652,7.633044921,34
Scott Wedman tells a FUNNY Larry Bird TRASH TALK story! 😂 #shorts #larrybird,2025-05-15T17:51:23Z,62654,1975,65,fZSe-kGRKbE,Sports,3.152232898,3.291139241,34
Stephen A. CALLS OUT Playoff Jimmy after Game 5 loss 🗣️ 'HE COULDN'T WIN ONE GAME!' | First Take,2025-05-15T16:31:58Z,506042,4906,2180,9VOwIXtafjA,Sports,0.9694847463,44.43538524,34
The story of Shaq & Penny as a DUO! 🔥 #shorts #nbahighlights,2025-05-15T13:50:20Z,5720,360,20,RvJddMsbohw,Sports,6.293706294,5.555555556,34
PSV fans react to Ajax losing the lead against Groningen #eredivisie #ajax #psv,2025-05-15T13:30:01Z,867,11,0,8rnEQP49nLc,Sports,1.268742791,0,34
Highlights | Bangladesh A vs New Zealand A 2025 | 1st Four Day | Day 2 | Cricket | T Sports,2025-05-15T12:33:35Z,359679,5171,138,5W2bU4XhzC0,Sports,1.437670812,2.668729453,34
A's vs. Dodgers Game Highlights (5/14/25) | MLB Highlights,2025-05-15T05:41:09Z,320871,4940,307,wC_KoezmB6Q,Sports,1.539559511,6.214574899,34
How Federer Turned Roddick’s Rivalry Into a Nightmare,2025-05-15T01:30:04Z,148327,1614,370,3dLWQ6sOvxI,Sports,1.088136347,22.9244114,34
Koi das skda eh kedi pipe A ? #trending #ytshorts #volkswagen,2025-05-15T14:12:16Z,495,7,0,tjYovK_WdCg,AutosVehicles,1.414141414,0,34
Does a USED DUMP TRUCK Really Crush a ROLLS ROYCE?,2025-05-15T13:47:53Z,3174,9,0,7r-mJkYzSTk,AutosVehicles,0.2835538752,0,34
WILL THIS ROLLS ROYCE SURVIVE A BIG ROCK DROP FROM A MOBILE CRANE?,2025-05-15T13:43:48Z,31575,64,0,kDRjJPUbJgI,AutosVehicles,0.2026920032,0,34
WILL THIS Rolls Royce SURVIVE a 50 TON Road Roller DROP?,2025-05-15T13:35:53Z,411,2,0,dzCDJ7gfRvA,AutosVehicles,0.4866180049,0,34
Does a Ford Raptor Crush a Rolls Royce?,2025-05-15T13:28:37Z,3352,7,0,CUsEn9wMRlQ,AutosVehicles,0.2088305489,0,34
