Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
This All Started With a Loaf,2025-05-15T22:30:18Z,148,10,11,q0KdrxQRyUk,PeopleBlogs,2025-06-18,6.756756757,110,34
🚨😱MASSIVE NEWS! CHIEFS FANS ARE SPEECHLESS! WHAT A SURPRISE! KANSAS CITY CHIEFS NEWS TODAY!,2025-05-15T21:16:00Z,225,12,3,p8ibJVT_3kg,PeopleBlogs,,5.333333333,25,34
⁠From Mushin to the World 🌍 | Day in My Life as a Content Creator,2025-05-15T20:00:02Z,68,13,15,-IBWe8U4moQ,PeopleBlogs,,19.11764706,115.3846154,34
BEAUTY SITH A BOUNCE🔥 Full beat on channel #shorts #nycdrill #typebeat,2025-05-15T18:19:11Z,5,0,0,X-Q9l0jR5V4,PeopleBlogs,,0,#DIV/0!,34
DICIÉNDOLE QUE SI A DANI A TODO😱,2025-05-15T18:17:24Z,1903091,24014,0,jB-Mch4Gryg,PeopleBlogs,,1.261841919,0,34
PASSEI 100 DIAS NO GROW A GARDEN,2025-05-15T18:03:43Z,526185,7451,247,4zM9_3BvtOo,PeopleBlogs,,1.416041886,3.314991276,34
Make These Savory Stuffed Peppers—A Flavor Surprise You’ve Never Tried!,2025-05-15T17:34:04Z,11834,131,8,vRkn5CdGecM,PeopleBlogs,,1.106979888,6.106870229,34
$500 Toddler’s Shopping Spree,2025-05-15T17:17:07Z,780234,16433,887,OzkfN0O_sQE,PeopleBlogs,,2.106163023,5.397675409,34
A lista dos melhores investimentos para jul/2025,2025-05-15T16:12:12Z,0,89,0,REPrWP7Csl0,PeopleBlogs,,#DIV/0!,0,34
The Forbidden Gospel of Mary Magdalene | What Are They Trying to Hide from Us?,2025-05-15T15:02:30Z,14791,656,79,mq2va5B2kL8,PeopleBlogs,,4.435129471,12.04268293,34
A Samsung refrigerator 😭 #letmeknowsong #funny #memes #refrigerator,2025-05-15T14:53:36Z,224,14,2,zRvWYBj9tNA,PeopleBlogs,,6.25,14.28571429,34
