Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
Porsche car meet #porsche #automobile,2025-04-15T05:32:37Z,355,5,0,8PA8nCESk9E,AutosVehicles,2025-06-22,1.408450704,0,68
2025 Honda Grom | Erste Fahrt,2025-04-14T18:23:57Z,6037,320,27,F4W3GcBrvE4,AutosVehicles,,5.300646016,8.4375,69
PEREBUTAN IMAM BEBEK 200 🔥 ANTARA JATIM X JATENG 😅🤣😁 MENURUT KALIAN SIAPA YANG DI DEPAN,2025-04-14T17:00:22Z,7912,57,0,a7L7rKevhlU,AutosVehicles,,0.7204246714,0,69
#tiktokviralsong #funny #viralvideo,2025-04-14T04:48:14Z,237,22,3,KXOd8lMWPKM,AutosVehicles,,9.282700422,13.63636364,69
A short clip of our team players getting ready for the match game. #football #footballedits #foryou,2025-04-14T04:08:18Z,1034,17,0,MtNv08pUGLo,AutosVehicles,,1.64410058,0,69
Honda CBR1100XX Blackbird: La Moto que Voló Más Rápido que un Avión🔥,2025-04-13T17:00:55Z,15966,554,78,r7L_qtCBEMU,AutosVehicles,,3.469873481,14.07942238,70
eine auszeichnung für letzter im rollschuh ist crazy 💀,2025-04-13T15:44:38Z,31382,2315,8,rDy55JAxaC4,AutosVehicles,,7.376840227,0.3455723542,70
2025 GMC Hummer EV LuxoVan Review | Futuristic Electric Luxury Van with 1000 HP!,2025-04-13T12:51:22Z,797,7,0,rDVcFFKzslc,AutosVehicles,,0.878293601,0,70
13. April 2025,2025-04-13T11:18:34Z,158,2,0,1KKuAX38MKs,AutosVehicles,,1.265822785,0,70
POV : ทำงาน ในวันที่คนอื่นหยุดสงกรานต์แล้ว 😂😂😂,2025-04-12T06:29:15Z,9973,59,0,x0j1YkA1t3M,AutosVehicles,,0.5915973127,0,71
F1 Vegas Behind the Scenes!,2025-04-11T15:01:19Z,808,28,0,mz0SbP2-RyQ,AutosVehicles,,3.465346535,0,72
Uluru a majestic rock stand tall for thousands of years. #uluru #ayersrock #northernterritory #fyp,2025-04-11T14:33:41Z,250,3,3,g-lLoDZEscg,AutosVehicles,,1.2,100,72
𝓢𝓱𝓸𝔀 𝓶𝓮 𝔂𝓸𝓾𝓻 𝓴𝓮𝔂𝓫𝓸𝓪𝓻𝓭 #keyboard #board #key #shorts,2025-04-11T10:19:08Z,1171,6,1,bq8I08KJ36Y,AutosVehicles,,0.512382579,16.66666667,72
10. April 2025,2025-04-10T16:16:48Z,44,3,0,QNA8oE9k7Ng,AutosVehicles,,6.818181818,0,73
