Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
2019 Nissan Urvan Chiller Ultimate Commercial Cooler on Wheels! #nissan #dubaicars #firstchoicecars,2024-05-15T09:03:51Z,587,11,0,5sCE3Lmx6Ds,AutosVehicles,2025-06-18,1.873935264,0,399
"2019 Nissan Kicks SV Style, Comfort, Performance Discover Now! #",2024-05-14T07:59:38Z,876,21,0,c4D5H7l4uTQ,AutosVehicles,,2.397260274,0,400
Hit the trails with the 2022 JEEP WRANGLER RUBICON! 囓暢 #jeep #dubaicars #firstchoicecars,2024-05-13T12:10:55Z,91,2,0,63ebRprPZdc,AutosVehicles,,2.197802198,0,401
Unlock the City: 2019 Mitsubishi ASX GLX Tour 囓 #mitsubishi #dubai  #firstchoicecars,2024-05-12T06:55:31Z,1372,14,1,r3vczhONGJc,AutosVehicles,,1.020408163,7.142857143,402
WHO IS BILLY- THE GUY BEHIND THIS CHANNEL-A FUNNY INTERVIEW,2024-05-06T17:10:49Z,3225,137,50,KWv431JojHY,AutosVehicles,,4.248062016,36.49635036,408
2020 Hyundai H1 GL: The Ultimate 12-Seater Tour! #hyundai #dubaicars #firstchoicecars,2024-05-06T09:12:35Z,8739,110,2,XP25ZDKj7po,AutosVehicles,,1.258725255,1.818181818,408
2020 Peugeot Expert Van Tour: Ultimate Delivery Machine! #peugeot #dubaicars #firstchoicecars,2024-05-05T15:55:11Z,3770,26,0,M_BHBKcjmpk,AutosVehicles,,0.6896551724,0,409
Experience the thrill of road in the Peugeot 5008 Active 2019! 検  #peugeot #dubai  #firstchoiceccars,2024-05-05T09:00:52Z,217,4,0,TaFB7KJQiFw,AutosVehicles,,1.843317972,0,409
Cambio bujes a hoja de muelle en prensa hidraulica #helco,2024-05-03T13:00:34Z,3276,41,0,QUUgJt9X0Fw,AutosVehicles,,1.251526252,0,411
Instalar yugo a cardan #HELCO,2024-04-29T10:00:43Z,4757,32,0,sBxqqZo46N0,AutosVehicles,,0.6726928737,0,415
A compilation of many slightly used Toyota fielders and their prices-0725152722,2024-04-28T20:40:43Z,7593,201,45,WYwhzn1zgTU,AutosVehicles,,2.64717503,22.3880597,416
2020 Ford Expedition XLT 4WD: Ready for Every Adventure! #ford #dubai #firstchoicecars,2024-04-27T06:55:55Z,197,2,0,k0FKb1RTVNc,AutosVehicles,,1.015228426,0,417
2018 Ford Explorer XLT: Ultimate Adventure SUV #ford #dubai #firstchicecars,2024-04-25T06:02:15Z,2409,25,0,Pj8dwb1gonM,AutosVehicles,,1.03777501,0,419
2019 Nissan Kicks SV: Your Next Favorite Ride? #nissan #dubai #firstchoicecars,2024-04-24T07:15:47Z,2536,26,0,QhIXF2Yt350,AutosVehicles,,1.025236593,0,420
2018 Volkswagen Tiguan SEL窶罵uxury on every journey! 囓笨ｨ #volkswagen #dubai #firstchoicecars,2024-04-23T07:01:39Z,351,8,0,rIIdSOqNtdo,AutosVehicles,,2.279202279,0,421
Cambio de buje a hoja principal paquete de muelle en prensa hidraulica  #helco,2024-04-22T15:00:24Z,876,13,0,Qd9sb2wbvJ8,AutosVehicles,,1.484018265,0,422
"2019 Toyota Hilux GLX Review: Double Cabin, Double the Fun! #toyota #dubai #firstchoicecars",2024-04-22T07:16:08Z,4737,41,1,yph6hM8txbY,AutosVehicles,,0.8655267047,2.43902439,422
"2023 Toyota Camry SE Chronicles: Every Mile, a New Discovery #toyota #dubai #firstchoicecars",2024-04-21T15:58:23Z,522,16,0,N6RiwjIF-ps,AutosVehicles,,3.0651341,0,423
Discover Luxury & Power with the 2021 KIA Telluride EX! #kia #dubai #firstchoicecars,2024-04-19T15:54:28Z,1018,12,0,3Lo8fvMhgkg,AutosVehicles,,1.178781925,0,425
Unveiling the 2023 Toyota Hilux GLX: Ultimate Off-Road Adventure. #toyota  #dubai #firstchoicecars,2024-04-19T15:09:14Z,650,16,0,chL16Zp_BIk,AutosVehicles,,2.461538462,0,425
perforar platina acero a 1/2 pulgada #helco,2024-04-18T18:00:34Z,749,13,0,pjHkght_mPw,AutosVehicles,,1.73564753,0,426
Explore the 2022 Kia Sorento EX Top: Luxury and Performance Unveiled! #kia #dubai #firstchoicecars,2024-04-15T10:25:31Z,683,12,0,7M6c6b2SWpY,AutosVehicles,,1.756954612,0,429
2020 Toyota Land Cruiser: Ultimate 4WD Single Cabin Pickup #toyota #dubai #firstchoicecars,2024-04-15T07:13:13Z,610,17,0,UBjeNV5EvLk,AutosVehicles,,2.786885246,0,429
2022 GMC Acadia SLE Review: A Closer Look at Luxury and Performance #gmc  #dubai   #firstchoicecars,2024-04-14T10:17:14Z,1014,8,0,adnKB0mhuBQ,AutosVehicles,,0.7889546351,0,430
2023 Nissan Maxima SR Detailed Review: Luxury Sedan  @Nissan #firstchoicecars #dubai #luxury#nissan,2024-04-12T14:26:38Z,34228,756,10,yrV4hocLK30,AutosVehicles,,2.208718009,1.322751323,432
A clean Toyota wish on sale-Ready papers-buy and drive-car on offer,2024-04-12T10:20:31Z,706,24,12,HRtcxwEzwQ0,AutosVehicles,,3.399433428,50,432
Discover the 2022 Citroen C3 Aircross 検 #citroen #dubai #firstchoicecars,2024-04-09T08:13:36Z,1058,10,0,-FDFoltw8Yc,AutosVehicles,,0.9451795841,0,435
2017 Opel Mokka X Turbo Review: The Ultimate Affordable Luxury. #opel #dubai #firstchoicecars,2024-04-08T08:51:57Z,3058,29,0,v3yXlZXJHZw,AutosVehicles,,0.9483322433,0,436
2019 Toyota Prado VXR: A Blend of Luxury and Adventure #toyota #dubai #firstchoicecars,2024-04-07T08:19:53Z,820,17,0,kECDn7da9FA,AutosVehicles,,2.073170732,0,437
meter bujes a puntas eje delantero ford cargo 1721 #helco,2024-04-07T06:00:04Z,916,20,0,4Z0vC1pQOTU,AutosVehicles,,2.183406114,0,437
2023 Nissan Patrol Super Safari: The Epitome of Power and Elegance #nissan #dubai #firstchoicecars,2024-04-06T10:36:00Z,22030,682,7,VW1BUdzMGsE,AutosVehicles,,3.095778484,1.026392962,438
2018 Toyota Land Cruiser EXR 4.6L V8 A Glimpse of Power #landcruiser #dubai #firstchoicecars,2024-04-04T07:43:52Z,628,18,0,Mfw0k8c_5i0,AutosVehicles,,2.866242038,0,440
2020 Hyundai Accent GL  A Closer Look at Compact Perfection. #hyundai #dubai #firstchoicecars,2024-04-03T08:54:14Z,2643,41,0,UCTYyT481MU,AutosVehicles,,1.551267499,0,441
2018 Porsche Cayenne: Unleashing Power and Elegance #porsche #dubai #firstchoicecars,2024-04-02T06:54:56Z,528,15,0,RR_WqZNDfS0,AutosVehicles,,2.840909091,0,442
2020 BMW 7 Series 730li: Ultimate Elegance on the Road #bmw #dubai #firstchoicecars,2024-03-30T09:58:05Z,2939,106,0,WJAtdh9v1R0,AutosVehicles,,3.606668935,0,445
