Title,Date,Views,Likes,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff
Qui a raison ??,2024-08-14T23:57:48Z,53,0,0,FilmAnimation,0:02:11,6qzL0oTkVM4,2024-8-15T00:00:00Z,N/A,N/A,334
Un gendarme douf un unique enfant d’une Dane a cause de 500,2024-08-14T21:31:25Z,46,2,0,FilmAnimation,0:01:16,I0go68j5k2U,2024-8-15T00:00:00Z,0.043478260869565216,0.0,334
Reyhan se hace el inocente a Emir #lapromesa #reyhanemir #reymir #reyhan #emir,2024-08-14T20:00:15Z,247301,8635,42,FilmAnimation,0:00:59,NDlTzThbKnI,2024-8-15T00:00:00Z,0.034916963538360136,0.004863925883034163,334
Pobre garoto reencarnou como FAZENDEIRO de Lv 1 com a lança de Deus e Ganho um HARÉM,2024-08-14T19:30:05Z,103583,2693,101,FilmAnimation,1:00:46,mfnMDaeYkcc,2024-8-15T00:00:00Z,0.02599847465317668,0.03750464166357222,334
Got a DJI Osmo Mobile 6? Try SpinShot mode for something DIFFERENT 🔄 IG: hosseinhaddadi,2024-08-14T16:45:03Z,3951074,85088,112,FilmAnimation,0:00:14,hGIGiF7sc1U,2024-8-15T00:00:00Z,0.021535410371964686,0.0013162843174125611,334
What the Rich Don’t Want You to Know: A Godfather Lesson #thegodfather #michaelcorleone,2024-08-14T16:00:28Z,3845599,148276,1961,FilmAnimation,0:01:00,_NKd5zJhVJA,2024-8-15T00:00:00Z,0.038557322279312016,0.013225336534570666,334
DIVERTIDAMENTE 2: AMOR É A NOVA EMOÇÃO!? Divertidamente 2 Animação,2024-08-14T15:00:50Z,497843,5621,161,FilmAnimation,0:31:36,onfQsfIDyRo,2024-8-15T00:00:00Z,0.011290708114807278,0.028642590286425903,334
Me & Winnie the Pooh Vlogs 🍯💛 | Compilation | @disneyjr,2024-08-14T14:45:00Z,1031301,1566,0,FilmAnimation,0:50:12,1j975U_FbU0,2024-8-15T00:00:00Z,0.00151847035928405,0.0,334
BRAND NEW! | The Talent Show | Season 3 | Kongsuni and Friends | Kids Cartoon,2024-08-14T14:00:52Z,2928509,2612,0,FilmAnimation,0:12:22,pVNgBbMYH98,2024-8-15T00:00:00Z,0.0008919214521792489,0.0,334
Building a House,2024-08-14T14:00:12Z,166479,3311,0,FilmAnimation,0:00:59,CD0cSs89E6E,2024-8-15T00:00:00Z,0.01988839433201785,0.0,334
Escape from the Vicious 6! | Minions: The Rise Of Gru | Extended Preview | Movie | Mega Moments,2024-08-14T14:00:35Z,9311219,8461,0,FilmAnimation,0:09:22,b1_jH4Mr7fQ,2024-8-15T00:00:00Z,0.0009086887549310139,0.0,334
Zach and Michael review a toilet #smilingfriends #sdcc2024,2024-08-14T13:00:51Z,627541,55371,953,FilmAnimation,0:00:55,mXc2SmDvqL4,2024-8-15T00:00:00Z,0.08823487230316425,0.017211175525094363,334
The disaster #Shorts #Zigandsharko Zig & Sharko | Cartoon for kids,2024-08-14T11:00:57Z,163941887,1442935,0,FilmAnimation,0:00:21,m-Oe04lH1cE,2024-8-15T00:00:00Z,0.008801502937440265,0.0,334
they are such a cute couple's #anime #animeedit #animelover #romantic #love,2024-08-14T04:27:32Z,500373,33137,231,FilmAnimation,0:00:37,5UEpfwjnp3g,2024-8-15T00:00:00Z,0.06622459645104752,0.006971059540694692,334
What's in the sand?😨#shorts,2024-08-14T01:00:14Z,6859620,85561,316,FilmAnimation,0:00:56,EJxDqpCDN60,2024-8-15T00:00:00Z,0.012473139911540289,0.003693271467140403,334
A Pastor's Epic Quest To Convert An Entire Village. (African folktales story ) #africanfolktales,2024-08-14T00:13:48Z,180,22,10,FilmAnimation,0:14:10,BRIl-GhAGJQ,2024-8-15T00:00:00Z,0.12222222222222222,0.45454545454545453,334
Miller's Girl (2024) - Jenna Ortega & Gideon Alton Make Out Scene | Movieclips,2024-08-13T20:00:30Z,22885491,83551,2605,FilmAnimation,0:02:57,nWneUaD7WSc,2024-8-15T00:00:00Z,0.0036508283785565273,0.031178561597108353,335
The Lizard And The Ant | Bedtime Stories For Kids In English | Folktales In English #bedtimestories,2024-08-13T19:34:17Z,418368,1277,0,FilmAnimation,0:04:18,TpNINtKC55I,2024-8-15T00:00:00Z,0.0030523366987914944,0.0,335
The Joker Stops Batman From Killing The Riddler!,2024-08-13T18:32:19Z,501356,40664,552,FilmAnimation,0:00:59,-5VcJjHNunc,2024-8-15T00:00:00Z,0.08110803500905545,0.013574660633484163,335
Is Conch Shell's Poster a W? #bfdi,2024-08-13T15:00:38Z,2333300,129247,1915,FilmAnimation,0:00:20,cV1nA5gfjpA,2024-8-15T00:00:00Z,0.055392362748039256,0.014816591487616734,335
A JUGAR CON WINNIE THE POOH: Pasa una tarde divertida con el osito Pooh ❤️🐻 | @DisneyJuniorES,2024-08-13T13:00:10Z,1613250,2325,0,FilmAnimation,0:19:15,8D_36FIKE8w,2024-8-15T00:00:00Z,0.0014411901441190144,0.0,335
AGGRESSIVE SHAKE (Tutorial) #capcut #edit #capcuttutorial #editing,2024-08-13T12:30:27Z,188,4,2,FilmAnimation,0:00:55,Ef7GQ-OegRE,2024-8-15T00:00:00Z,0.02127659574468085,0.5,335
Voila Pkoi on a perdu Gaddafi 😱😳🤔🤔 ou bien ?,2024-08-13T12:27:15Z,17,1,0,FilmAnimation,0:08:44,ua4i_6SDX7c,2024-8-15T00:00:00Z,0.058823529411764705,0.0,335
